Rank,First Name,Last Name,Time,Event Num,Event
1st,Conor,Evans,12.37,S1E6,The Nagoya Big Double
2nd,Tanya,Lee,12.44,S1E2,The Bangkok Cup Sponsored by GAN
3rd,Tanya,Lee,12.68,S1E10,The Moscow Cup Sponsored by GAN
4th,Eric,Graham,12.8,S1E7,The Shanghai Cup Sponsored by GAN
5th,Kimberly,White,12.86,S1E7,The Shanghai Cup Sponsored by GAN
6th,Stephanie,Cain,13.3,S1E8,The Ho Chi Minh City Cubing Invitational
7th,Tanya,Lee,13.32,S1E11,Season 1 Championship in Manhattan
8th,Tanya,Lee,13.44,S1E9,The Manchester Cubing Invitational
9th,Tanya,Lee,13.45,S1E8,The Ho Chi Minh City Cubing Invitational
10th,Tanya,Lee,13.49,S1E6,The Nagoya Big Double
11th,Tanya,Lee,13.51,S2E3,The Manchester Big Double
12th,Antonio,Valencia,13.82,S1E6,The Nagoya Big Double
13th,Tanya,Lee,13.82,S2E3,The Manchester Big Double
14th,Robert,Young,13.83,S2E3,The Manchester Big Double
15th,Antonio,Valencia,13.96,S1E9,The Manchester Cubing Invitational
16th,Conor,Evans,13.96,S2E4,The MoYu Louisville Cup
17th,Cheryl,Jackson,14.01,S1E2,The Bangkok Cup Sponsored by GAN
18th,Jeanette,King,14.06,S1E3,The Las Vegas Big Double in United States
19th,Tanya,Lee,14.07,S2E2,The Wuhan Open Tournament in China
20th,Jacob,Garcia,14.14,S1E6,The Nagoya Big Double
21st,Tanya,Lee,14.2,S1E10,The Moscow Cup Sponsored by GAN
22nd,Maggie,Silver,14.21,S2E4,The MoYu Louisville Cup
23rd,Cheryl,Jackson,14.22,S1E10,The Moscow Cup Sponsored by GAN
24th,Robert,Young,14.25,S2E4,The MoYu Louisville Cup
25th,Bradley,Cross,14.33,S2E1,The Japan Open in Tokyo
26th,Cheryl,Jackson,14.43,S2E2,The Wuhan Open Tournament in China
27th,Tanya,Lee,14.47,S1E8,The Ho Chi Minh City Cubing Invitational
28th,Antonio,Valencia,14.48,S1E6,The Nagoya Big Double
29th,Cheryl,Jackson,14.5,S2E4,The MoYu Louisville Cup
30th,Tanya,Lee,14.51,S1E2,The Bangkok Cup Sponsored by GAN
31st,Daria,Buchkovsky,14.51,S1E4,The Johannesburg Open Tournament in South Africa
32nd,Cheryl,Jackson,14.52,S1E5,The South Bend Open Tournament in United States
33rd,Robin,Wells,14.59,S1E1,The Milwaukee Cup Sponsored by GAN
34th,Robert,Young,14.62,S1E3,The Las Vegas Big Double in United States
35th,Eric,Graham,14.63,S2E3,The Manchester Big Double
36th,Tanya,Lee,14.64,S1E8,The Ho Chi Minh City Cubing Invitational
37th,Tanya,Lee,14.67,S1E2,The Bangkok Cup Sponsored by GAN
38th,Conor,Evans,14.67,S1E10,The Moscow Cup Sponsored by GAN
39th,Tanya,Lee,14.7,S1E4,The Johannesburg Open Tournament in South Africa
40th,Jacob,Garcia,14.7,S1E7,The Shanghai Cup Sponsored by GAN
41st,Stephanie,Cain,14.72,S1E3,The Las Vegas Big Double in United States
42nd,Jason,Martin,14.77,S1E2,The Bangkok Cup Sponsored by GAN
43rd,Tanya,Lee,14.77,S1E2,The Bangkok Cup Sponsored by GAN
44th,Douglas,Robinson,14.77,S1E5,The South Bend Open Tournament in United States
45th,Tanya,Lee,14.78,S1E8,The Ho Chi Minh City Cubing Invitational
46th,Robert,Young,14.85,S1E3,The Las Vegas Big Double in United States
47th,Kimberly,White,14.85,S1E11,Season 1 Championship in Manhattan
48th,Antonio,Valencia,14.86,S2E1,The Japan Open in Tokyo
49th,Tanya,Lee,14.87,S1E1,The Milwaukee Cup Sponsored by GAN
50th,Tanya,Lee,14.91,S1E5,The South Bend Open Tournament in United States
51st,Daria,Buchkovsky,14.93,S2E2,The Wuhan Open Tournament in China
