Rank,First Name,Last Name,AO5,AO5 Times,Event Num,Event
1st,Bradley,Cross,15.74,"[14.33, 16.11, 16.05, 19.59, 15.07]",S2E1,The Japan Open in Tokyo
2nd,Tanya,Lee,16.09,"[17.26, 15.64, 19.9, 15.36, 14.59]",S2E5,Bangkok Open
3rd,Tanya,Lee,16.48,"[16.76, 21.41, 16.77, 12.28, 15.9]",S2E6,Speedcubes Massive Battle in Omdurman
4th,Tanya,Lee,16.64,"[15.21, 21.03, 14.87, 18.15, 16.55]",S1E1,The Milwaukee Cup Sponsored by GAN
5th,Tanya,Lee,16.67,"[16.68, 16.57, 16.77, 17.8, 13.89]",S2E8,The Berlin Cup Sponsored by GAN
6th,Tanya,Lee,16.76,"[19.41, 14.67, 12.44, 21.95, 16.2]",S1E2,The Bangkok Cup Sponsored by GAN
7th,Bradley,Cross,17.0,"[18.29, 17.55, 17.07, 16.28, 16.38]",S2E1,The Japan Open in Tokyo
8th,Antonio,Valencia,17.11,"[15.48, 18.71, 14.99, 17.14, 19.22]",S2E2,The Wuhan Open Tournament in China
9th,Antonio,Valencia,17.28,"[16.97, 'DNF', 16.6, 17.17, 17.69]",S1E6,The Nagoya Big Double
10th,Tanya,Lee,17.29,"[15.77, 17.84, 15.99, 21.91, 18.05]",S1E1,The Milwaukee Cup Sponsored by GAN
11th,Bradley,Cross,17.37,"[17.23, 15.54, 17.82, 17.05, 20.12]",S2E1,The Japan Open in Tokyo
12th,Tanya,Lee,17.44,"[17.39, 13.44, 15.94, 21.37, 19.0]",S1E9,The Manchester Cubing Invitational
13th,Tanya,Lee,17.53,"[15.99, 18.34, 19.69, 16.85, 17.39]",S2E2,The Wuhan Open Tournament in China
14th,Cheryl,Jackson,17.55,"[15.65, 'DNF', 17.62, 18.09, 16.95]",S1E5,The South Bend Open Tournament in United States
15th,Robert,Young,17.57,"['DNF', 13.83, 18.55, 18.42, 15.73]",S2E3,The Manchester Big Double
16th,Tanya,Lee,17.67,"[24.52, 15.11, 19.01, 15.53, 18.48]",S2E4,The MoYu Louisville Cup
17th,Kimberly,White,17.71,"[15.96, 12.86, 20.52, 17.26, 19.91]",S1E7,The Shanghai Cup Sponsored by GAN
18th,Tanya,Lee,17.73,"[12.68, 19.23, 16.19, 20.52, 17.78]",S1E10,The Moscow Cup Sponsored by GAN
19th,Eric,Graham,17.83,"[17.75, 15.28, 17.04, 24.27, 18.71]",S2E2,The Wuhan Open Tournament in China
20th,Tanya,Lee,17.85,"[18.83, 16.74, 19.29, 15.97, 17.98]",S1E2,The Bangkok Cup Sponsored by GAN
21st,Bradley,Cross,17.89,"[17.26, 16.26, 19.91, 'DNF', 16.5]",S2E3,The Manchester Big Double
22nd,Tanya,Lee,17.9,"[18.95, 13.51, 17.62, 17.12, 19.73]",S2E3,The Manchester Big Double
23rd,Maggie,Silver,17.93,"[16.55, 16.79, 20.15, 21.29, 16.85]",S1E10,The Moscow Cup Sponsored by GAN
24th,Emerson,Tichenor,17.93,"[17.61, 18.26, 17.91, 17.41, 19.64]",S2E2,The Wuhan Open Tournament in China
25th,Stephanie,Cain,17.93,"[16.37, 19.93, 17.29, 18.87, 17.62]",S2E7,The Nagoya Cup Sponsored by GAN
26th,Antonio,Valencia,17.97,"[17.32, 18.26, 18.55, 17.94, 17.71]",S2E3,The Manchester Big Double
27th,Ryan,Stoyko,17.99,"[20.75, 18.36, 17.97, 16.93, 17.64]",S2E1,The Japan Open in Tokyo
