Rank,First Name,Last Name,AO5,AO5 Times,Event Num,Event
1st,Tanya,Lee,16.64,"[15.21, 21.03, 14.87, 18.15, 16.55]",S1E1,The Milwaukee Cup Sponsored by GAN
2nd,Tanya,Lee,16.76,"[19.41, 14.67, 12.44, 21.95, 16.2]",S1E2,The Bangkok Cup Sponsored by GAN
3rd,Antonio,Valencia,17.28,"[16.97, 'DNF', 16.6, 17.17, 17.69]",S1E6,The Nagoya Big Double
4th,Tanya,Lee,17.29,"[15.77, 17.84, 15.99, 21.91, 18.05]",S1E1,The Milwaukee Cup Sponsored by GAN
5th,Tanya,Lee,17.44,"[17.39, 13.44, 15.94, 21.37, 19.0]",S1E9,The Manchester Cubing Invitational
6th,Cheryl,Jackson,17.55,"[15.65, 'DNF', 17.62, 18.09, 16.95]",S1E5,The South Bend Open Tournament in United States
7th,Kimberly,White,17.71,"[15.96, 12.86, 20.52, 17.26, 19.91]",S1E7,The Shanghai Cup Sponsored by GAN
8th,Tanya,Lee,17.85,"[18.83, 16.74, 19.29, 15.97, 17.98]",S1E2,The Bangkok Cup Sponsored by GAN
9th,Kimberly,White,18.06,"[18.67, 16.05, 16.27, 'DNF', 19.24]",S1E9,The Manchester Cubing Invitational
10th,Tanya,Lee,18.08,"[17.2, 21.69, 17.15, 13.49, 19.88]",S1E6,The Nagoya Big Double
11th,Antonio,Valencia,18.11,"[17.93, 22.68, 18.64, 17.75, 17.13]",S1E2,The Bangkok Cup Sponsored by GAN
12th,Robert,Young,18.12,"[22.63, 17.47, 17.01, 16.67, 19.89]",S1E7,The Shanghai Cup Sponsored by GAN
13th,Robert,Young,18.15,"[16.66, 20.63, 18.91, 17.59, 17.94]",S1E6,The Nagoya Big Double
14th,Tanya,Lee,18.17,"[14.47, 19.31, 18.92, 21.02, 16.29]",S1E8,The Ho Chi Minh City Cubing Invitational
15th,Alyssa,Murillo,18.18,"[17.87, 19.2, 19.58, 17.01, 17.46]",S1E6,The Nagoya Big Double
16th,Kimberly,White,18.23,"[17.87, 16.11, 19.09, 18.04, 18.79]",S1E5,The South Bend Open Tournament in United States
17th,Kimberly,White,18.23,"[17.76, 18.04, 18.9, 18.92, 16.16]",S1E9,The Manchester Cubing Invitational
18th,Stephanie,Cain,18.26,"[18.23, 17.53, 19.02, 15.6, 19.39]",S1E8,The Ho Chi Minh City Cubing Invitational
19th,Tanya,Lee,18.27,"[14.7, 17.18, 20.76, 16.88, 25.82]",S1E4,The Johannesburg Open Tournament in South Africa
20th,Maggie,Silver,18.28,"[17.8, 18.95, 22.11, 17.27, 18.1]",S1E3,The Las Vegas Big Double in United States
21st,Tanya,Lee,18.29,"[16.96, 18.16, 18.53, 23.96, 18.19]",S1E8,The Ho Chi Minh City Cubing Invitational
