Rank,First Name,Last Name,AO5,AO5 Times,Event Num,Event
1st,Bradley,Cross,15.74,"[14.33, 16.11, 16.05, 19.59, 15.07]",S2E1,The Japan Open in Tokyo
2nd,Tanya,Lee,16.64,"[15.21, 21.03, 14.87, 18.15, 16.55]",S1E1,The Milwaukee Cup Sponsored by GAN
3rd,Tanya,Lee,16.76,"[19.41, 14.67, 12.44, 21.95, 16.2]",S1E2,The Bangkok Cup Sponsored by GAN
4th,Bradley,Cross,17.0,"[18.29, 17.55, 17.07, 16.28, 16.38]",S2E1,The Japan Open in Tokyo
5th,Antonio,Valencia,17.11,"[15.48, 18.71, 14.99, 17.14, 19.22]",S2E2,The Wuhan Open Tournament in China
6th,Antonio,Valencia,17.28,"[16.97, 'DNF', 16.6, 17.17, 17.69]",S1E6,The Nagoya Big Double
7th,Tanya,Lee,17.29,"[15.77, 17.84, 15.99, 21.91, 18.05]",S1E1,The Milwaukee Cup Sponsored by GAN
8th,Bradley,Cross,17.37,"[17.23, 15.54, 17.82, 17.05, 20.12]",S2E1,The Japan Open in Tokyo
9th,Tanya,Lee,17.44,"[17.39, 13.44, 15.94, 21.37, 19.0]",S1E9,The Manchester Cubing Invitational
10th,Tanya,Lee,17.53,"[15.99, 18.34, 19.69, 16.85, 17.39]",S2E2,The Wuhan Open Tournament in China
11th,Cheryl,Jackson,17.55,"[15.65, 'DNF', 17.62, 18.09, 16.95]",S1E5,The South Bend Open Tournament in United States
12th,Kimberly,White,17.71,"[15.96, 12.86, 20.52, 17.26, 19.91]",S1E7,The Shanghai Cup Sponsored by GAN
13th,Tanya,Lee,17.73,"[12.68, 19.23, 16.19, 20.52, 17.78]",S1E10,The Moscow Cup Sponsored by GAN
14th,Eric,Graham,17.83,"[17.75, 15.28, 17.04, 24.27, 18.71]",S2E2,The Wuhan Open Tournament in China
15th,Tanya,Lee,17.85,"[18.83, 16.74, 19.29, 15.97, 17.98]",S1E2,The Bangkok Cup Sponsored by GAN
16th,Maggie,Silver,17.93,"[16.55, 16.79, 20.15, 21.29, 16.85]",S1E10,The Moscow Cup Sponsored by GAN
17th,Emerson,Tichenor,17.93,"[17.61, 18.26, 17.91, 17.41, 19.64]",S2E2,The Wuhan Open Tournament in China
18th,Ryan,Stoyko,17.99,"[20.75, 18.36, 17.97, 16.93, 17.64]",S2E1,The Japan Open in Tokyo
19th,Bradley,Cross,18.04,"[16.83, 21.27, 20.75, 15.47, 16.53]",S2E1,The Japan Open in Tokyo
20th,Kimberly,White,18.06,"[18.67, 16.05, 16.27, 'DNF', 19.24]",S1E9,The Manchester Cubing Invitational
21st,Tanya,Lee,18.08,"[17.2, 21.69, 17.15, 13.49, 19.88]",S1E6,The Nagoya Big Double
22nd,Tanya,Lee,18.1,"[21.41, 15.15, 16.25, 18.35, 19.71]",S1E11,Season 1 Championship in Manhattan
23rd,Antonio,Valencia,18.11,"[17.93, 22.68, 18.64, 17.75, 17.13]",S1E2,The Bangkok Cup Sponsored by GAN
24th,Robert,Young,18.12,"[22.63, 17.47, 17.01, 16.67, 19.89]",S1E7,The Shanghai Cup Sponsored by GAN
25th,Antonio,Valencia,18.13,"[17.32, 16.9, 18.8, 19.82, 18.26]",S2E1,The Japan Open in Tokyo
26th,Robert,Young,18.15,"[16.66, 20.63, 18.91, 17.59, 17.94]",S1E6,The Nagoya Big Double
27th,Tanya,Lee,18.17,"[14.47, 19.31, 18.92, 21.02, 16.29]",S1E8,The Ho Chi Minh City Cubing Invitational
28th,Alyssa,Murillo,18.18,"[17.87, 19.2, 19.58, 17.01, 17.46]",S1E6,The Nagoya Big Double
29th,Cheryl,Jackson,18.19,"[19.4, 18.66, 14.22, 18.51, 17.41]",S1E10,The Moscow Cup Sponsored by GAN
30th,Kimberly,White,18.23,"[17.87, 16.11, 19.09, 18.04, 18.79]",S1E5,The South Bend Open Tournament in United States
31st,Kimberly,White,18.23,"[17.76, 18.04, 18.9, 18.92, 16.16]",S1E9,The Manchester Cubing Invitational
32nd,Antonio,Valencia,18.25,"[16.61, 17.97, 19.14, 17.91, 18.86]",S2E1,The Japan Open in Tokyo
33rd,Stephanie,Cain,18.26,"[18.23, 17.53, 19.02, 15.6, 19.39]",S1E8,The Ho Chi Minh City Cubing Invitational
34th,Tanya,Lee,18.27,"[14.7, 17.18, 20.76, 16.88, 25.82]",S1E4,The Johannesburg Open Tournament in South Africa
35th,Maggie,Silver,18.28,"[17.8, 18.95, 22.11, 17.27, 18.1]",S1E3,The Las Vegas Big Double in United States
36th,Tanya,Lee,18.29,"[16.96, 18.16, 18.53, 23.96, 18.19]",S1E8,The Ho Chi Minh City Cubing Invitational
37th,Bradley,Cross,18.29,"[18.44, 17.78, 17.69, 19.18, 18.66]",S2E1,The Japan Open in Tokyo
38th,Antonio,Valencia,18.32,"[19.12, 19.97, 13.82, 17.27, 18.58]",S1E6,The Nagoya Big Double
39th,Robert,Andrews,18.35,"[15.42, 17.27, 22.33, 19.41, 18.37]",S1E7,The Shanghai Cup Sponsored by GAN
40th,Stephanie,Cain,18.36,"[18.35, 18.24, 22.14, 18.38, 18.35]",S1E4,The Johannesburg Open Tournament in South Africa
41st,Bradley,Cross,18.36,"[18.85, 17.51, 16.52, 22.9, 18.71]",S2E2,The Wuhan Open Tournament in China
42nd,Bradley,Cross,18.41,"[16.47, 17.57, 18.29, 19.36, 20.45]",S2E2,The Wuhan Open Tournament in China
43rd,Antonio,Valencia,18.43,"[19.67, 15.73, 18.23, 19.15, 17.91]",S1E4,The Johannesburg Open Tournament in South Africa
44th,Kimberly,White,18.45,"[16.25, 21.48, 17.09, 19.58, 18.67]",S1E3,The Las Vegas Big Double in United States
45th,Maggie,Silver,18.45,"[19.1, 17.27, 18.28, 21.31, 17.98]",S2E1,The Japan Open in Tokyo
46th,Ryan,Stoyko,18.46,"[18.7, 17.89, 18.8, 23.76, 17.47]",S1E6,The Nagoya Big Double
47th,Robert,Young,18.47,"[18.4, 18.89, 19.71, 14.62, 18.12]",S1E3,The Las Vegas Big Double in United States
48th,Mark,Williams,18.48,"[17.27, 17.89, 19.43, 18.12, 22.39]",S2E2,The Wuhan Open Tournament in China
49th,Tanya,Lee,18.5,"[17.4, 15.65, 23.18, 16.37, 21.74]",S1E3,The Las Vegas Big Double in United States
50th,Alyssa,Murillo,18.52,"[18.81, 17.2, 15.84, 19.57, 19.55]",S2E2,The Wuhan Open Tournament in China
51st,Kimberly,White,18.54,"[20.17, 17.64, 17.82, 17.62, 22.65]",S1E6,The Nagoya Big Double
52nd,Robert,Andrews,18.55,"[17.42, 19.98, 18.26, 16.41, 22.75]",S1E2,The Bangkok Cup Sponsored by GAN
53rd,Tanya,Lee,18.55,"[19.7, 22.28, 19.85, 16.09, 13.32]",S1E11,Season 1 Championship in Manhattan
54th,Kimberly,White,18.56,"[16.95, 22.96, 16.99, 16.85, 21.75]",S1E2,The Bangkok Cup Sponsored by GAN
55th,Antonio,Valencia,18.56,"[17.63, 20.14, 20.75, 17.52, 17.91]",S1E7,The Shanghai Cup Sponsored by GAN
56th,Eric,Graham,18.57,"[18.61, 18.1, 18.99, 16.23, 22.93]",S1E8,The Ho Chi Minh City Cubing Invitational
57th,Kimberly,White,18.57,"[18.89, 18.14, 21.28, 18.68, 17.98]",S1E10,The Moscow Cup Sponsored by GAN
58th,Tanya,Lee,18.58,"[15.99, 18.96, 18.6, 20.28, 18.19]",S1E6,The Nagoya Big Double
59th,Tanya,Lee,18.58,"[20.14, 17.48, 22.83, 18.13, 16.64]",S1E10,The Moscow Cup Sponsored by GAN
60th,Tanya,Lee,18.62,"[18.8, 'DNF', 17.59, 19.0, 18.05]",S1E1,The Milwaukee Cup Sponsored by GAN
61st,Antonio,Valencia,18.62,"[19.97, 19.44, 18.19, 18.24, 17.6]",S2E2,The Wuhan Open Tournament in China
62nd,Tanya,Lee,18.63,"[17.17, 15.54, 19.78, 18.95, 20.57]",S1E1,The Milwaukee Cup Sponsored by GAN
63rd,Antonio,Valencia,18.63,"[19.15, 17.92, 18.53, 21.3, 18.2]",S1E7,The Shanghai Cup Sponsored by GAN
64th,Jacob,Garcia,18.64,"[19.58, 19.08, 19.03, 17.31, 17.8]",S1E3,The Las Vegas Big Double in United States
65th,Stephanie,Cain,18.65,"[21.58, 15.89, 15.67, 18.48, 22.9]",S1E7,The Shanghai Cup Sponsored by GAN
66th,Robert,Andrews,18.66,"[19.28, 20.95, 16.83, 19.43, 17.26]",S1E6,The Nagoya Big Double
67th,Stephanie,Cain,18.66,"[17.25, 19.17, 17.56, 24.14, 19.24]",S1E10,The Moscow Cup Sponsored by GAN
68th,Conor,Evans,18.67,"[18.3, 24.57, 12.37, 15.25, 22.46]",S1E6,The Nagoya Big Double
69th,Kimberly,White,18.67,"[20.62, 18.47, 18.16, 19.38, 15.91]",S1E9,The Manchester Cubing Invitational
70th,Eric,Graham,18.67,"[18.75, 19.09, 17.71, 18.18, 19.32]",S2E2,The Wuhan Open Tournament in China
71st,Tanya,Lee,18.69,"[18.37, 16.82, 18.56, 20.74, 19.13]",S1E2,The Bangkok Cup Sponsored by GAN
72nd,Tanya,Lee,18.71,"[19.3, 19.28, 18.31, 18.55, 16.02]",S1E1,The Milwaukee Cup Sponsored by GAN
73rd,Maggie,Silver,18.72,"[18.37, 18.17, 19.62, 17.44, 20.5]",S1E6,The Nagoya Big Double
74th,Tanya,Lee,18.73,"[21.92, 19.71, 18.14, 17.01, 18.35]",S1E8,The Ho Chi Minh City Cubing Invitational
75th,Robert,Young,18.74,"[20.17, 15.61, 16.39, 19.66, 20.38]",S2E1,The Japan Open in Tokyo
76th,Eric,Graham,18.75,"[17.83, 21.04, 17.37, 17.22, 22.54]",S1E9,The Manchester Cubing Invitational
77th,Tanya,Lee,18.76,"['DNF', 21.0, 17.13, 16.7, 18.16]",S1E8,The Ho Chi Minh City Cubing Invitational
78th,Kimberly,White,18.79,"[18.13, 18.44, 20.78, 17.39, 19.81]",S1E7,The Shanghai Cup Sponsored by GAN
79th,Alyssa,Murillo,18.81,"[17.32, 21.45, 19.68, 17.01, 19.44]",S1E9,The Manchester Cubing Invitational
80th,Robert,Andrews,18.82,"[16.19, 17.53, 19.59, 19.34, 20.39]",S1E8,The Ho Chi Minh City Cubing Invitational
81st,Cheryl,Jackson,18.82,"[20.16, 18.85, 17.49, 19.25, 18.36]",S2E1,The Japan Open in Tokyo
82nd,Bradley,Cross,18.84,"[21.37, 17.87, 19.45, 18.07, 19.01]",S2E1,The Japan Open in Tokyo
83rd,Robert,Andrews,18.84,"[16.46, 23.07, 18.58, 18.35, 19.6]",S2E1,The Japan Open in Tokyo
84th,Jacob,Garcia,18.84,"[21.0, 17.67, 18.71, 20.14, 17.22]",S2E2,The Wuhan Open Tournament in China
85th,Tanya,Lee,18.86,"[19.73, 17.35, 20.33, 17.51, 19.33]",S1E8,The Ho Chi Minh City Cubing Invitational
86th,Maggie,Silver,18.86,"[20.59, 21.3, 18.89, 16.4, 17.09]",S1E10,The Moscow Cup Sponsored by GAN
