Rank,First Name,Last Name,Time,Event Num,Event
1st,Robin,Wells,14.59,S1E1,The Milwaukee Cup Sponsored by GAN
2nd,Tanya,Lee,14.87,S1E1,The Milwaukee Cup Sponsored by GAN
3rd,Henry,Hunter,15.15,S1E1,The Milwaukee Cup Sponsored by GAN
4th,Conor,Evans,15.16,S1E1,The Milwaukee Cup Sponsored by GAN
5th,Emerson,Tichenor,15.18,S1E1,The Milwaukee Cup Sponsored by GAN
6th,Tanya,Lee,15.21,S1E1,The Milwaukee Cup Sponsored by GAN
7th,Tanya,Lee,15.54,S1E1,The Milwaukee Cup Sponsored by GAN
8th,Tanya,Lee,15.77,S1E1,The Milwaukee Cup Sponsored by GAN
9th,Robert,Young,15.81,S1E1,The Milwaukee Cup Sponsored by GAN
10th,Sarah,Torres,15.9,S1E1,The Milwaukee Cup Sponsored by GAN
11th,Eric,Graham,15.91,S1E1,The Milwaukee Cup Sponsored by GAN
12th,Tanya,Lee,15.99,S1E1,The Milwaukee Cup Sponsored by GAN
13th,Elizabeth,Williams,16.0,S1E1,The Milwaukee Cup Sponsored by GAN
14th,Antonio,Valencia,16.0,S1E1,The Milwaukee Cup Sponsored by GAN
15th,Tanya,Lee,16.02,S1E1,The Milwaukee Cup Sponsored by GAN
16th,Kimberly,White,16.19,S1E1,The Milwaukee Cup Sponsored by GAN
17th,Antonio,Valencia,16.19,S1E1,The Milwaukee Cup Sponsored by GAN
18th,Cheryl,Jackson,16.19,S1E1,The Milwaukee Cup Sponsored by GAN
19th,Eric,Graham,16.29,S1E1,The Milwaukee Cup Sponsored by GAN
20th,Antonio,Valencia,16.4,S1E1,The Milwaukee Cup Sponsored by GAN
21st,Alyssa,Murillo,16.45,S1E1,The Milwaukee Cup Sponsored by GAN
22nd,Elizabeth,Williams,16.47,S1E1,The Milwaukee Cup Sponsored by GAN
23rd,Eric,Graham,16.49,S1E1,The Milwaukee Cup Sponsored by GAN
24th,Cheryl,Jackson,16.53,S1E1,The Milwaukee Cup Sponsored by GAN
25th,Tanya,Lee,16.55,S1E1,The Milwaukee Cup Sponsored by GAN
26th,Antonio,Valencia,16.56,S1E1,The Milwaukee Cup Sponsored by GAN
27th,Robert,Andrews,16.87,S1E1,The Milwaukee Cup Sponsored by GAN
28th,Elizabeth,Williams,16.89,S1E1,The Milwaukee Cup Sponsored by GAN
29th,Julia,Lamb,16.97,S1E1,The Milwaukee Cup Sponsored by GAN
30th,Henry,Hunter,16.97,S1E1,The Milwaukee Cup Sponsored by GAN
31st,Stephanie,Cain,16.99,S1E1,The Milwaukee Cup Sponsored by GAN
32nd,Maggie,Silver,17.01,S1E1,The Milwaukee Cup Sponsored by GAN
33rd,Jessica,Lane,17.13,S1E1,The Milwaukee Cup Sponsored by GAN
34th,Robin,Wells,17.15,S1E1,The Milwaukee Cup Sponsored by GAN
35th,Tanya,Lee,17.17,S1E1,The Milwaukee Cup Sponsored by GAN
36th,Antonio,Valencia,17.18,S1E1,The Milwaukee Cup Sponsored by GAN
37th,Robert,Young,17.19,S1E1,The Milwaukee Cup Sponsored by GAN
38th,Kayla,Johnson,17.23,S1E1,The Milwaukee Cup Sponsored by GAN
39th,Robert,Young,17.33,S1E1,The Milwaukee Cup Sponsored by GAN
40th,Michelle,Hart,17.35,S1E1,The Milwaukee Cup Sponsored by GAN
41st,Antonio,Valencia,17.36,S1E1,The Milwaukee Cup Sponsored by GAN
42nd,Stephanie,Cain,17.43,S1E1,The Milwaukee Cup Sponsored by GAN
43rd,Kimberly,White,17.46,S1E1,The Milwaukee Cup Sponsored by GAN
44th,Kimberly,Williams,17.52,S1E1,The Milwaukee Cup Sponsored by GAN
45th,Alyssa,Murillo,17.54,S1E1,The Milwaukee Cup Sponsored by GAN
46th,Stephanie,Cain,17.57,S1E1,The Milwaukee Cup Sponsored by GAN
47th,Lynn,Cohen,17.59,S1E1,The Milwaukee Cup Sponsored by GAN
48th,Tanya,Lee,17.59,S1E1,The Milwaukee Cup Sponsored by GAN
49th,Sarah,Torres,17.64,S1E1,The Milwaukee Cup Sponsored by GAN
50th,Robert,Young,17.72,S1E1,The Milwaukee Cup Sponsored by GAN
51st,Tanya,Lee,17.84,S1E1,The Milwaukee Cup Sponsored by GAN
52nd,Jacob,Garcia,17.85,S1E1,The Milwaukee Cup Sponsored by GAN
53rd,Denise,Harrison,17.87,S1E1,The Milwaukee Cup Sponsored by GAN
54th,Eric,Graham,17.87,S1E1,The Milwaukee Cup Sponsored by GAN
55th,Alyssa,Murillo,17.88,S1E1,The Milwaukee Cup Sponsored by GAN
56th,Robert,Andrews,17.88,S1E1,The Milwaukee Cup Sponsored by GAN
57th,Conor,Evans,17.89,S1E1,The Milwaukee Cup Sponsored by GAN
58th,Kimberly,Williams,17.9,S1E1,The Milwaukee Cup Sponsored by GAN
59th,Allen,Cook,17.94,S1E1,The Milwaukee Cup Sponsored by GAN
60th,Antonio,Valencia,17.94,S1E1,The Milwaukee Cup Sponsored by GAN
61st,Jacob,Garcia,17.99,S1E1,The Milwaukee Cup Sponsored by GAN
62nd,Bill,Meadows,18.0,S1E1,The Milwaukee Cup Sponsored by GAN
63rd,Jessica,Lane,18.01,S1E1,The Milwaukee Cup Sponsored by GAN
64th,Antonio,Valencia,18.01,S1E1,The Milwaukee Cup Sponsored by GAN
65th,Eric,Graham,18.01,S1E1,The Milwaukee Cup Sponsored by GAN
66th,Tanya,Lee,18.05,S1E1,The Milwaukee Cup Sponsored by GAN
67th,Tanya,Lee,18.05,S1E1,The Milwaukee Cup Sponsored by GAN
68th,Robert,Andrews,18.1,S1E1,The Milwaukee Cup Sponsored by GAN
69th,Elizabeth,Williams,18.11,S1E1,The Milwaukee Cup Sponsored by GAN
70th,Eric,Graham,18.13,S1E1,The Milwaukee Cup Sponsored by GAN
71st,Tanya,Lee,18.15,S1E1,The Milwaukee Cup Sponsored by GAN
72nd,Maggie,Silver,18.2,S1E1,The Milwaukee Cup Sponsored by GAN
73rd,Robert,Young,18.27,S1E1,The Milwaukee Cup Sponsored by GAN
74th,Conor,Evans,18.29,S1E1,The Milwaukee Cup Sponsored by GAN
75th,Tanya,Lee,18.31,S1E1,The Milwaukee Cup Sponsored by GAN
76th,Antonio,Valencia,18.31,S1E1,The Milwaukee Cup Sponsored by GAN
77th,Kimberly,White,18.32,S1E1,The Milwaukee Cup Sponsored by GAN
78th,Cynthia,Silva,18.34,S1E1,The Milwaukee Cup Sponsored by GAN
79th,Brett,Hill,18.35,S1E1,The Milwaukee Cup Sponsored by GAN
80th,Antonio,Valencia,18.36,S1E1,The Milwaukee Cup Sponsored by GAN
81st,Robin,Wells,18.4,S1E1,The Milwaukee Cup Sponsored by GAN
82nd,James,Wade,18.41,S1E1,The Milwaukee Cup Sponsored by GAN
83rd,Alyssa,Murillo,18.42,S1E1,The Milwaukee Cup Sponsored by GAN
84th,Emerson,Tichenor,18.44,S1E1,The Milwaukee Cup Sponsored by GAN
85th,Julia,Lamb,18.46,S1E1,The Milwaukee Cup Sponsored by GAN
86th,Stephanie,Cain,18.46,S1E1,The Milwaukee Cup Sponsored by GAN
87th,Henry,Hunter,18.51,S1E1,The Milwaukee Cup Sponsored by GAN
88th,Brooke,Hunter,18.53,S1E1,The Milwaukee Cup Sponsored by GAN
89th,Tanya,Lee,18.55,S1E1,The Milwaukee Cup Sponsored by GAN
90th,Julia,Lamb,18.56,S1E1,The Milwaukee Cup Sponsored by GAN
91st,Alyssa,Murillo,18.56,S1E1,The Milwaukee Cup Sponsored by GAN
92nd,Lonnie,Green,18.57,S1E1,The Milwaukee Cup Sponsored by GAN
93rd,Jacob,Garcia,18.59,S1E1,The Milwaukee Cup Sponsored by GAN
94th,Nathaniel,White,18.6,S1E1,The Milwaukee Cup Sponsored by GAN
95th,Amanda,Scott,18.6,S1E1,The Milwaukee Cup Sponsored by GAN
96th,Sarah,Torres,18.6,S1E1,The Milwaukee Cup Sponsored by GAN
97th,Elizabeth,Williams,18.6,S1E1,The Milwaukee Cup Sponsored by GAN
98th,Kimberly,Williams,18.61,S1E1,The Milwaukee Cup Sponsored by GAN
99th,Antonio,Valencia,18.62,S1E1,The Milwaukee Cup Sponsored by GAN
100th,Maria,Turner,18.62,S1E1,The Milwaukee Cup Sponsored by GAN
