Rank,First Name,Last Name,AO5,AO5 Times,Event Num,Event
1st,Tanya,Lee,16.64,"[15.21, 21.03, 14.87, 18.15, 16.55]",S1E1,The Milwaukee Cup Sponsored by GAN
2nd,Tanya,Lee,16.76,"[19.41, 14.67, 12.44, 21.95, 16.2]",S1E2,The Bangkok Cup Sponsored by GAN
3rd,Tanya,Lee,17.29,"[15.77, 17.84, 15.99, 21.91, 18.05]",S1E1,The Milwaukee Cup Sponsored by GAN
4th,Cheryl,Jackson,17.55,"[15.65, 'DNF', 17.62, 18.09, 16.95]",S1E5,The South Bend Open Tournament in United States
5th,Tanya,Lee,17.85,"[18.83, 16.74, 19.29, 15.97, 17.98]",S1E2,The Bangkok Cup Sponsored by GAN
6th,Antonio,Valencia,18.11,"[17.93, 22.68, 18.64, 17.75, 17.13]",S1E2,The Bangkok Cup Sponsored by GAN
7th,Kimberly,White,18.23,"[17.87, 16.11, 19.09, 18.04, 18.79]",S1E5,The South Bend Open Tournament in United States
8th,Tanya,Lee,18.27,"[14.7, 17.18, 20.76, 16.88, 25.82]",S1E4,The Johannesburg Open Tournament in South Africa
9th,Maggie,Silver,18.28,"[17.8, 18.95, 22.11, 17.27, 18.1]",S1E3,The Las Vegas Big Double in United States
10th,Stephanie,Cain,18.36,"[18.35, 18.24, 22.14, 18.38, 18.35]",S1E4,The Johannesburg Open Tournament in South Africa
11th,Antonio,Valencia,18.43,"[19.67, 15.73, 18.23, 19.15, 17.91]",S1E4,The Johannesburg Open Tournament in South Africa
12th,Kimberly,White,18.45,"[16.25, 21.48, 17.09, 19.58, 18.67]",S1E3,The Las Vegas Big Double in United States
13th,Robert,Young,18.47,"[18.4, 18.89, 19.71, 14.62, 18.12]",S1E3,The Las Vegas Big Double in United States
14th,Tanya,Lee,18.5,"[17.4, 15.65, 23.18, 16.37, 21.74]",S1E3,The Las Vegas Big Double in United States
15th,Robert,Andrews,18.55,"[17.42, 19.98, 18.26, 16.41, 22.75]",S1E2,The Bangkok Cup Sponsored by GAN
16th,Kimberly,White,18.56,"[16.95, 22.96, 16.99, 16.85, 21.75]",S1E2,The Bangkok Cup Sponsored by GAN
17th,Tanya,Lee,18.62,"[18.8, 'DNF', 17.59, 19.0, 18.05]",S1E1,The Milwaukee Cup Sponsored by GAN
18th,Tanya,Lee,18.63,"[17.17, 15.54, 19.78, 18.95, 20.57]",S1E1,The Milwaukee Cup Sponsored by GAN
19th,Jacob,Garcia,18.64,"[19.58, 19.08, 19.03, 17.31, 17.8]",S1E3,The Las Vegas Big Double in United States
20th,Tanya,Lee,18.69,"[18.37, 16.82, 18.56, 20.74, 19.13]",S1E2,The Bangkok Cup Sponsored by GAN
21st,Tanya,Lee,18.71,"[19.3, 19.28, 18.31, 18.55, 16.02]",S1E1,The Milwaukee Cup Sponsored by GAN
