Rank,First Name,Last Name,Time,Event Num,Event
1st,Tanya,Lee,12.28,S2E6,Speedcubes Massive Battle in Omdurman
2nd,Conor,Evans,12.37,S1E6,The Nagoya Big Double
3rd,Tanya,Lee,12.44,S1E2,The Bangkok Cup Sponsored by GAN
4th,Tanya,Lee,12.68,S1E10,The Moscow Cup Sponsored by GAN
5th,Eric,Graham,12.8,S1E7,The Shanghai Cup Sponsored by GAN
6th,Kimberly,White,12.86,S1E7,The Shanghai Cup Sponsored by GAN
7th,Stephanie,Cain,13.3,S1E8,The Ho Chi Minh City Cubing Invitational
8th,Tanya,Lee,13.32,S1E11,Season 1 Championship in Manhattan
9th,Tanya,Lee,13.44,S1E9,The Manchester Cubing Invitational
10th,Tanya,Lee,13.45,S1E8,The Ho Chi Minh City Cubing Invitational
11th,Tanya,Lee,13.49,S1E6,The Nagoya Big Double
12th,Tanya,Lee,13.51,S2E3,The Manchester Big Double
13th,Tanya,Lee,13.55,S2E5,Bangkok Open
14th,Bradley,Cross,13.71,S2E6,Speedcubes Massive Battle in Omdurman
15th,Antonio,Valencia,13.82,S1E6,The Nagoya Big Double
16th,Tanya,Lee,13.82,S2E3,The Manchester Big Double
17th,Robert,Young,13.83,S2E3,The Manchester Big Double
18th,Antonio,Valencia,13.96,S1E9,The Manchester Cubing Invitational
19th,Conor,Evans,13.96,S2E4,The MoYu Louisville Cup
20th,Ryan,Stoyko,14.0,S2E5,Bangkok Open
21st,Cheryl,Jackson,14.01,S1E2,The Bangkok Cup Sponsored by GAN
22nd,Robert,Young,14.05,S2E5,Bangkok Open
23rd,Jeanette,King,14.06,S1E3,The Las Vegas Big Double in United States
24th,Tanya,Lee,14.07,S2E2,The Wuhan Open Tournament in China
25th,Alyssa,Murillo,14.1,S2E5,Bangkok Open
26th,Jacob,Garcia,14.14,S1E6,The Nagoya Big Double
27th,Jacob,Garcia,14.16,S2E6,Speedcubes Massive Battle in Omdurman
28th,Tanya,Lee,14.2,S1E10,The Moscow Cup Sponsored by GAN
29th,Maggie,Silver,14.21,S2E4,The MoYu Louisville Cup
30th,Cheryl,Jackson,14.22,S1E10,The Moscow Cup Sponsored by GAN
31st,Robert,Young,14.25,S2E4,The MoYu Louisville Cup
32nd,Bradley,Cross,14.33,S2E1,The Japan Open in Tokyo
33rd,Bill,Meadows,14.36,S2E5,Bangkok Open
34th,Lonnie,Green,14.38,S2E5,Bangkok Open
35th,Cheryl,Jackson,14.43,S2E2,The Wuhan Open Tournament in China
36th,Tanya,Lee,14.47,S1E8,The Ho Chi Minh City Cubing Invitational
37th,Antonio,Valencia,14.48,S1E6,The Nagoya Big Double
38th,Cheryl,Jackson,14.5,S2E4,The MoYu Louisville Cup
39th,Tanya,Lee,14.51,S1E2,The Bangkok Cup Sponsored by GAN
40th,Daria,Buchkovsky,14.51,S1E4,The Johannesburg Open Tournament in South Africa
41st,Cheryl,Jackson,14.52,S1E5,The South Bend Open Tournament in United States
42nd,Ryan,Stoyko,14.54,S2E6,Speedcubes Massive Battle in Omdurman
43rd,Robin,Wells,14.59,S1E1,The Milwaukee Cup Sponsored by GAN
44th,Tanya,Lee,14.59,S2E5,Bangkok Open
45th,Robert,Young,14.62,S1E3,The Las Vegas Big Double in United States
46th,Eric,Graham,14.63,S2E3,The Manchester Big Double
47th,Tanya,Lee,14.64,S1E8,The Ho Chi Minh City Cubing Invitational
48th,Tanya,Lee,14.67,S1E2,The Bangkok Cup Sponsored by GAN
49th,Conor,Evans,14.67,S1E10,The Moscow Cup Sponsored by GAN
50th,Eric,Graham,14.67,S2E6,Speedcubes Massive Battle in Omdurman
51st,Tanya,Lee,14.7,S1E4,The Johannesburg Open Tournament in South Africa
52nd,Jacob,Garcia,14.7,S1E7,The Shanghai Cup Sponsored by GAN
53rd,Stephanie,Cain,14.72,S1E3,The Las Vegas Big Double in United States
54th,Jason,Martin,14.77,S1E2,The Bangkok Cup Sponsored by GAN
55th,Tanya,Lee,14.77,S1E2,The Bangkok Cup Sponsored by GAN
56th,Douglas,Robinson,14.77,S1E5,The South Bend Open Tournament in United States
57th,Tanya,Lee,14.78,S1E8,The Ho Chi Minh City Cubing Invitational
58th,Eric,Graham,14.79,S2E6,Speedcubes Massive Battle in Omdurman
59th,Cheryl,Jackson,14.84,S2E5,Bangkok Open
60th,Robert,Young,14.85,S1E3,The Las Vegas Big Double in United States
61st,Kimberly,White,14.85,S1E11,Season 1 Championship in Manhattan
62nd,Antonio,Valencia,14.86,S2E1,The Japan Open in Tokyo
63rd,Tanya,Lee,14.87,S1E1,The Milwaukee Cup Sponsored by GAN
64th,Tanya,Lee,14.91,S1E5,The South Bend Open Tournament in United States
65th,Daria,Buchkovsky,14.93,S2E2,The Wuhan Open Tournament in China
66th,Conor,Evans,14.94,S1E2,The Bangkok Cup Sponsored by GAN
67th,Eric,Graham,14.98,S1E10,The Moscow Cup Sponsored by GAN
68th,Robin,Wells,14.98,S2E3,The Manchester Big Double
69th,Antonio,Valencia,14.99,S2E2,The Wuhan Open Tournament in China
70th,Tanya,Lee,15.0,S1E11,Season 1 Championship in Manhattan
71st,Bradley,Cross,15.07,S2E1,The Japan Open in Tokyo
72nd,Jacob,Garcia,15.09,S2E1,The Japan Open in Tokyo
73rd,Michelle,Hart,15.1,S2E1,The Japan Open in Tokyo
74th,Tanya,Lee,15.11,S2E4,The MoYu Louisville Cup
75th,Cheryl,Jackson,15.11,S2E5,Bangkok Open
76th,Henry,Hunter,15.15,S1E1,The Milwaukee Cup Sponsored by GAN
77th,Tanya,Lee,15.15,S1E11,Season 1 Championship in Manhattan
78th,Cheryl,Jackson,15.15,S2E2,The Wuhan Open Tournament in China
79th,Conor,Evans,15.16,S1E1,The Milwaukee Cup Sponsored by GAN
80th,Robert,Young,15.16,S1E3,The Las Vegas Big Double in United States
81st,Robert,Young,15.17,S1E2,The Bangkok Cup Sponsored by GAN
82nd,Emerson,Tichenor,15.18,S1E1,The Milwaukee Cup Sponsored by GAN
83rd,Eric,Graham,15.19,S1E8,The Ho Chi Minh City Cubing Invitational
84th,Caitlin,Nolan,15.2,S2E6,Speedcubes Massive Battle in Omdurman
85th,Tanya,Lee,15.21,S1E1,The Milwaukee Cup Sponsored by GAN
86th,Tanya,Lee,15.21,S2E1,The Japan Open in Tokyo
87th,Bradley,Cross,15.22,S2E5,Bangkok Open
88th,Robert,Andrews,15.23,S2E3,The Manchester Big Double
89th,Tiffany,Dixon,15.23,S2E4,The MoYu Louisville Cup
90th,Conor,Evans,15.24,S2E3,The Manchester Big Double
91st,Conor,Evans,15.25,S1E6,The Nagoya Big Double
92nd,Stephanie,Cain,15.26,S2E3,The Manchester Big Double
93rd,Denise,Harrison,15.26,S2E4,The MoYu Louisville Cup
94th,Daria,Buchkovsky,15.26,S2E5,Bangkok Open
95th,Daria,Buchkovsky,15.27,S1E5,The South Bend Open Tournament in United States
96th,Stephanie,Cain,15.27,S2E2,The Wuhan Open Tournament in China
97th,Eric,Graham,15.28,S2E2,The Wuhan Open Tournament in China
98th,Michelle,Hart,15.33,S1E3,The Las Vegas Big Double in United States
99th,Robert,Young,15.33,S1E8,The Ho Chi Minh City Cubing Invitational
100th,Antonio,Valencia,15.34,S2E6,Speedcubes Massive Battle in Omdurman
