Rank,First Name,Last Name,Time,Event Num,Event
1st,Tanya,Lee,12.44,S1E2,The Bangkok Cup Sponsored by GAN
2nd,Cheryl,Jackson,14.01,S1E2,The Bangkok Cup Sponsored by GAN
3rd,Jeanette,King,14.06,S1E3,The Las Vegas Big Double in United States
4th,Tanya,Lee,14.51,S1E2,The Bangkok Cup Sponsored by GAN
5th,Daria,Buchkovsky,14.51,S1E4,The Johannesburg Open Tournament in South Africa
6th,Robin,Wells,14.59,S1E1,The Milwaukee Cup Sponsored by GAN
7th,Robert,Young,14.62,S1E3,The Las Vegas Big Double in United States
8th,Tanya,Lee,14.67,S1E2,The Bangkok Cup Sponsored by GAN
9th,Tanya,Lee,14.7,S1E4,The Johannesburg Open Tournament in South Africa
10th,Stephanie,Cain,14.72,S1E3,The Las Vegas Big Double in United States
11th,Jason,Martin,14.77,S1E2,The Bangkok Cup Sponsored by GAN
12th,Tanya,Lee,14.77,S1E2,The Bangkok Cup Sponsored by GAN
13th,Robert,Young,14.85,S1E3,The Las Vegas Big Double in United States
14th,Tanya,Lee,14.87,S1E1,The Milwaukee Cup Sponsored by GAN
15th,Conor,Evans,14.94,S1E2,The Bangkok Cup Sponsored by GAN
16th,Henry,Hunter,15.15,S1E1,The Milwaukee Cup Sponsored by GAN
17th,Conor,Evans,15.16,S1E1,The Milwaukee Cup Sponsored by GAN
18th,Robert,Young,15.16,S1E3,The Las Vegas Big Double in United States
19th,Robert,Young,15.17,S1E2,The Bangkok Cup Sponsored by GAN
20th,Emerson,Tichenor,15.18,S1E1,The Milwaukee Cup Sponsored by GAN
21st,Tanya,Lee,15.21,S1E1,The Milwaukee Cup Sponsored by GAN
22nd,Michelle,Hart,15.33,S1E3,The Las Vegas Big Double in United States
23rd,Robert,Young,15.39,S1E4,The Johannesburg Open Tournament in South Africa
24th,Robert,Young,15.47,S1E3,The Las Vegas Big Double in United States
25th,Ryan,Stoyko,15.52,S1E3,The Las Vegas Big Double in United States
26th,Daria,Buchkovsky,15.52,S1E3,The Las Vegas Big Double in United States
27th,Tanya,Lee,15.54,S1E1,The Milwaukee Cup Sponsored by GAN
28th,Tanya,Lee,15.65,S1E3,The Las Vegas Big Double in United States
29th,Antonio,Valencia,15.73,S1E4,The Johannesburg Open Tournament in South Africa
30th,Tanya,Lee,15.77,S1E1,The Milwaukee Cup Sponsored by GAN
31st,Cheryl,Jackson,15.77,S1E2,The Bangkok Cup Sponsored by GAN
32nd,Robert,Young,15.81,S1E1,The Milwaukee Cup Sponsored by GAN
