Rank,First Name,Last Name,AO5,AO5 Times,Event Num,Event
1st,Tanya,Lee,16.64,"[15.21, 21.03, 14.87, 18.15, 16.55]",S1E1,The Milwaukee Cup Sponsored by GAN
2nd,Tanya,Lee,16.76,"[19.41, 14.67, 12.44, 21.95, 16.2]",S1E2,The Bangkok Cup Sponsored by GAN
3rd,Antonio,Valencia,17.28,"[16.97, 'DNF', 16.6, 17.17, 17.69]",S1E6,The Nagoya Big Double
4th,Tanya,Lee,17.29,"[15.77, 17.84, 15.99, 21.91, 18.05]",S1E1,The Milwaukee Cup Sponsored by GAN
5th,Cheryl,Jackson,17.55,"[15.65, 'DNF', 17.62, 18.09, 16.95]",S1E5,The South Bend Open Tournament in United States
6th,Tanya,Lee,17.85,"[18.83, 16.74, 19.29, 15.97, 17.98]",S1E2,The Bangkok Cup Sponsored by GAN
7th,Tanya,Lee,18.08,"[17.2, 21.69, 17.15, 13.49, 19.88]",S1E6,The Nagoya Big Double
8th,Antonio,Valencia,18.11,"[17.93, 22.68, 18.64, 17.75, 17.13]",S1E2,The Bangkok Cup Sponsored by GAN
9th,Robert,Young,18.15,"[16.66, 20.63, 18.91, 17.59, 17.94]",S1E6,The Nagoya Big Double
10th,Alyssa,Murillo,18.18,"[17.87, 19.2, 19.58, 17.01, 17.46]",S1E6,The Nagoya Big Double
11th,Kimberly,White,18.23,"[17.87, 16.11, 19.09, 18.04, 18.79]",S1E5,The South Bend Open Tournament in United States
12th,Tanya,Lee,18.27,"[14.7, 17.18, 20.76, 16.88, 25.82]",S1E4,The Johannesburg Open Tournament in South Africa
13th,Maggie,Silver,18.28,"[17.8, 18.95, 22.11, 17.27, 18.1]",S1E3,The Las Vegas Big Double in United States
14th,Antonio,Valencia,18.32,"[19.12, 19.97, 13.82, 17.27, 18.58]",S1E6,The Nagoya Big Double
15th,Stephanie,Cain,18.36,"[18.35, 18.24, 22.14, 18.38, 18.35]",S1E4,The Johannesburg Open Tournament in South Africa
16th,Antonio,Valencia,18.43,"[19.67, 15.73, 18.23, 19.15, 17.91]",S1E4,The Johannesburg Open Tournament in South Africa
17th,Kimberly,White,18.45,"[16.25, 21.48, 17.09, 19.58, 18.67]",S1E3,The Las Vegas Big Double in United States
18th,Ryan,Stoyko,18.46,"[18.7, 17.89, 18.8, 23.76, 17.47]",S1E6,The Nagoya Big Double
19th,Robert,Young,18.47,"[18.4, 18.89, 19.71, 14.62, 18.12]",S1E3,The Las Vegas Big Double in United States
20th,Tanya,Lee,18.5,"[17.4, 15.65, 23.18, 16.37, 21.74]",S1E3,The Las Vegas Big Double in United States
21st,Kimberly,White,18.54,"[20.17, 17.64, 17.82, 17.62, 22.65]",S1E6,The Nagoya Big Double
