Rank,First Name,Last Name,Time,Event Num,Event
1st,Tanya,Lee,12.28,S2E6,Speedcubes Massive Battle in Omdurman
2nd,Conor,Evans,12.37,S1E6,The Nagoya Big Double
3rd,Tanya,Lee,12.44,S1E2,The Bangkok Cup Sponsored by GAN
4th,Tanya,Lee,12.68,S1E10,The Moscow Cup Sponsored by GAN
5th,Eric,Graham,12.8,S1E7,The Shanghai Cup Sponsored by GAN
6th,Kimberly,White,12.86,S1E7,The Shanghai Cup Sponsored by GAN
7th,Conor,Evans,13.05,S2E8,The Berlin Cup Sponsored by GAN
8th,Stephanie,Cain,13.3,S1E8,The Ho Chi Minh City Cubing Invitational
9th,Tanya,Lee,13.32,S1E11,Season 1 Championship in Manhattan
10th,Tanya,Lee,13.44,S1E9,The Manchester Cubing Invitational
11th,Tanya,Lee,13.45,S1E8,The Ho Chi Minh City Cubing Invitational
12th,Tanya,Lee,13.49,S1E6,The Nagoya Big Double
13th,Tanya,Lee,13.51,S2E3,The Manchester Big Double
14th,Tanya,Lee,13.55,S2E5,Bangkok Open
15th,Bradley,Cross,13.71,S2E6,Speedcubes Massive Battle in Omdurman
16th,Antonio,Valencia,13.82,S1E6,The Nagoya Big Double
17th,Tanya,Lee,13.82,S2E3,The Manchester Big Double
18th,Robert,Young,13.83,S2E3,The Manchester Big Double
19th,Tanya,Lee,13.89,S2E8,The Berlin Cup Sponsored by GAN
20th,Tracy,Kelley,13.95,S2E9,The Bucharest Cup Sponsored by GAN
21st,Antonio,Valencia,13.96,S1E9,The Manchester Cubing Invitational
22nd,Conor,Evans,13.96,S2E4,The MoYu Louisville Cup
23rd,Ryan,Stoyko,14.0,S2E5,Bangkok Open
24th,Cheryl,Jackson,14.01,S1E2,The Bangkok Cup Sponsored by GAN
25th,Robert,Young,14.05,S2E5,Bangkok Open
26th,Jeanette,King,14.06,S1E3,The Las Vegas Big Double in United States
27th,Tanya,Lee,14.07,S2E2,The Wuhan Open Tournament in China
28th,Alyssa,Murillo,14.1,S2E5,Bangkok Open
29th,Tanya,Lee,14.13,S2E9,The Bucharest Cup Sponsored by GAN
30th,Jacob,Garcia,14.14,S1E6,The Nagoya Big Double
31st,Jacob,Garcia,14.16,S2E6,Speedcubes Massive Battle in Omdurman
32nd,Jacob,Garcia,14.19,S2E7,The Nagoya Cup Sponsored by GAN
33rd,Tanya,Lee,14.2,S1E10,The Moscow Cup Sponsored by GAN
34th,Maggie,Silver,14.21,S2E4,The MoYu Louisville Cup
35th,Cheryl,Jackson,14.22,S1E10,The Moscow Cup Sponsored by GAN
36th,Robert,Young,14.25,S2E4,The MoYu Louisville Cup
37th,Ryan,Stoyko,14.25,S2E7,The Nagoya Cup Sponsored by GAN
38th,Bradley,Cross,14.33,S2E1,The Japan Open in Tokyo
39th,Bill,Meadows,14.36,S2E5,Bangkok Open
40th,Tanya,Lee,14.37,S2E7,The Nagoya Cup Sponsored by GAN
41st,Lonnie,Green,14.38,S2E5,Bangkok Open
42nd,Cheryl,Jackson,14.43,S2E2,The Wuhan Open Tournament in China
43rd,Ryan,Stoyko,14.43,S2E8,The Berlin Cup Sponsored by GAN
44th,Julia,Lamb,14.45,S2E9,The Bucharest Cup Sponsored by GAN
45th,Tanya,Lee,14.47,S1E8,The Ho Chi Minh City Cubing Invitational
46th,Antonio,Valencia,14.48,S1E6,The Nagoya Big Double
47th,Cheryl,Jackson,14.5,S2E4,The MoYu Louisville Cup
48th,Antonio,Valencia,14.5,S2E9,The Bucharest Cup Sponsored by GAN
49th,Tanya,Lee,14.51,S1E2,The Bangkok Cup Sponsored by GAN
50th,Daria,Buchkovsky,14.51,S1E4,The Johannesburg Open Tournament in South Africa
51st,Cheryl,Jackson,14.52,S1E5,The South Bend Open Tournament in United States
52nd,Tanya,Lee,14.53,S2E9,The Bucharest Cup Sponsored by GAN
53rd,Ryan,Stoyko,14.54,S2E6,Speedcubes Massive Battle in Omdurman
54th,Robin,Wells,14.59,S1E1,The Milwaukee Cup Sponsored by GAN
55th,Tanya,Lee,14.59,S2E5,Bangkok Open
56th,Robert,Young,14.62,S1E3,The Las Vegas Big Double in United States
57th,Eric,Graham,14.63,S2E3,The Manchester Big Double
58th,Tanya,Lee,14.64,S1E8,The Ho Chi Minh City Cubing Invitational
59th,Tanya,Lee,14.67,S1E2,The Bangkok Cup Sponsored by GAN
60th,Conor,Evans,14.67,S1E10,The Moscow Cup Sponsored by GAN
61st,Eric,Graham,14.67,S2E6,Speedcubes Massive Battle in Omdurman
62nd,Tanya,Lee,14.7,S1E4,The Johannesburg Open Tournament in South Africa
63rd,Jacob,Garcia,14.7,S1E7,The Shanghai Cup Sponsored by GAN
64th,Stephanie,Cain,14.72,S1E3,The Las Vegas Big Double in United States
65th,Jason,Martin,14.77,S1E2,The Bangkok Cup Sponsored by GAN
66th,Tanya,Lee,14.77,S1E2,The Bangkok Cup Sponsored by GAN
67th,Douglas,Robinson,14.77,S1E5,The South Bend Open Tournament in United States
68th,Bradley,Cross,14.77,S2E9,The Bucharest Cup Sponsored by GAN
69th,Tanya,Lee,14.78,S1E8,The Ho Chi Minh City Cubing Invitational
70th,Eric,Graham,14.79,S2E6,Speedcubes Massive Battle in Omdurman
71st,Cheryl,Jackson,14.84,S2E5,Bangkok Open
72nd,Robert,Young,14.85,S1E3,The Las Vegas Big Double in United States
73rd,Kimberly,White,14.85,S1E11,Season 1 Championship in Manhattan
74th,Antonio,Valencia,14.86,S2E1,The Japan Open in Tokyo
75th,Tanya,Lee,14.87,S1E1,The Milwaukee Cup Sponsored by GAN
76th,Bradley,Cross,14.87,S2E9,The Bucharest Cup Sponsored by GAN
77th,Tanya,Lee,14.91,S1E5,The South Bend Open Tournament in United States
78th,Daria,Buchkovsky,14.93,S2E2,The Wuhan Open Tournament in China
79th,Conor,Evans,14.94,S1E2,The Bangkok Cup Sponsored by GAN
80th,Robin,Wells,14.95,S2E9,The Bucharest Cup Sponsored by GAN
81st,Eric,Graham,14.98,S1E10,The Moscow Cup Sponsored by GAN
82nd,Robin,Wells,14.98,S2E3,The Manchester Big Double
83rd,Antonio,Valencia,14.99,S2E2,The Wuhan Open Tournament in China
84th,Tanya,Lee,14.99,S2E7,The Nagoya Cup Sponsored by GAN
85th,Tanya,Lee,15.0,S1E11,Season 1 Championship in Manhattan
86th,Bradley,Cross,15.07,S2E1,The Japan Open in Tokyo
87th,Antonio,Valencia,15.08,S2E9,The Bucharest Cup Sponsored by GAN
88th,Jacob,Garcia,15.09,S2E1,The Japan Open in Tokyo
89th,Michelle,Hart,15.1,S2E1,The Japan Open in Tokyo
90th,Tanya,Lee,15.11,S2E4,The MoYu Louisville Cup
91st,Cheryl,Jackson,15.11,S2E5,Bangkok Open
92nd,Henry,Hunter,15.15,S1E1,The Milwaukee Cup Sponsored by GAN
93rd,Tanya,Lee,15.15,S1E11,Season 1 Championship in Manhattan
94th,Cheryl,Jackson,15.15,S2E2,The Wuhan Open Tournament in China
95th,Conor,Evans,15.16,S1E1,The Milwaukee Cup Sponsored by GAN
96th,Robert,Young,15.16,S1E3,The Las Vegas Big Double in United States
97th,Henry,Hunter,15.16,S2E9,The Bucharest Cup Sponsored by GAN
98th,Robert,Young,15.17,S1E2,The Bangkok Cup Sponsored by GAN
99th,Emerson,Tichenor,15.18,S1E1,The Milwaukee Cup Sponsored by GAN
100th,Eric,Graham,15.19,S1E8,The Ho Chi Minh City Cubing Invitational
