Rank,First Name,Last Name,AO5,AO5 Times,Event Num,Event
1st,Tanya,Lee,16.64,"[15.21, 21.03, 14.87, 18.15, 16.55]",S1E1,The Milwaukee Cup Sponsored by GAN
2nd,Tanya,Lee,17.29,"[15.77, 17.84, 15.99, 21.91, 18.05]",S1E1,The Milwaukee Cup Sponsored by GAN
3rd,Tanya,Lee,18.62,"[18.8, 'DNF', 17.59, 19.0, 18.05]",S1E1,The Milwaukee Cup Sponsored by GAN
4th,Tanya,Lee,18.63,"[17.17, 15.54, 19.78, 18.95, 20.57]",S1E1,The Milwaukee Cup Sponsored by GAN
5th,Tanya,Lee,18.71,"[19.3, 19.28, 18.31, 18.55, 16.02]",S1E1,The Milwaukee Cup Sponsored by GAN
6th,Elizabeth,Williams,18.89,"[20.37, 16.47, 19.4, 16.89, 20.88]",S1E1,The Milwaukee Cup Sponsored by GAN
7th,Antonio,Valencia,19.05,"[18.31, 20.47, 18.36, 16.4, 21.44]",S1E1,The Milwaukee Cup Sponsored by GAN
8th,Eric,Graham,19.17,"[17.87, 19.09, 21.79, 19.54, 18.88]",S1E1,The Milwaukee Cup Sponsored by GAN
9th,Cheryl,Jackson,19.18,"[16.19, 21.0, 16.53, 22.46, 20.01]",S1E1,The Milwaukee Cup Sponsored by GAN
10th,Kimberly,White,19.28,"[19.49, 20.21, 19.1, 19.26, 18.32]",S1E1,The Milwaukee Cup Sponsored by GAN
11th,Alyssa,Murillo,19.29,"[18.76, 18.56, 16.45, 20.54, 24.83]",S1E1,The Milwaukee Cup Sponsored by GAN
12th,Elizabeth,Williams,19.37,"[18.6, 19.07, 22.16, 18.95, 20.08]",S1E1,The Milwaukee Cup Sponsored by GAN
13th,Julia,Lamb,19.39,"[19.74, 22.9, 18.56, 19.86, 18.46]",S1E1,The Milwaukee Cup Sponsored by GAN
14th,Stephanie,Cain,19.43,"[17.43, 20.86, 25.44, 18.46, 18.98]",S1E1,The Milwaukee Cup Sponsored by GAN
15th,Antonio,Valencia,19.51,"[19.1, 19.94, 16.19, 20.76, 19.49]",S1E1,The Milwaukee Cup Sponsored by GAN
16th,Kimberly,White,19.58,"[19.25, 20.07, 19.99, 19.5, 18.89]",S1E1,The Milwaukee Cup Sponsored by GAN
17th,Antonio,Valencia,19.59,"[22.12, 17.36, 19.25, 20.9, 18.62]",S1E1,The Milwaukee Cup Sponsored by GAN
18th,Denise,Harrison,19.63,"[17.87, 18.77, 19.78, 20.33, 21.22]",S1E1,The Milwaukee Cup Sponsored by GAN
19th,Antonio,Valencia,19.68,"[16.0, 22.3, 18.01, 20.45, 20.58]",S1E1,The Milwaukee Cup Sponsored by GAN
20th,Cynthia,Silva,19.74,"[19.95, 27.12, 18.34, 18.97, 20.29]",S1E1,The Milwaukee Cup Sponsored by GAN
21st,Robert,Young,19.85,"[17.19, 22.2, 19.64, 22.71, 17.72]",S1E1,The Milwaukee Cup Sponsored by GAN
22nd,Elizabeth,Williams,19.92,"[18.86, 16.0, 20.37, 26.27, 20.54]",S1E1,The Milwaukee Cup Sponsored by GAN
23rd,Maggie,Silver,19.92,"[21.15, 21.36, 19.33, 19.27, 19.02]",S1E1,The Milwaukee Cup Sponsored by GAN
24th,Conor,Evans,19.93,"[21.73, 18.29, 19.01, 26.77, 19.05]",S1E1,The Milwaukee Cup Sponsored by GAN
25th,Brett,Hill,19.94,"[19.7, 18.35, 19.39, 20.74, 22.34]",S1E1,The Milwaukee Cup Sponsored by GAN
26th,Robert,Andrews,20.01,"[17.88, 22.62, 20.77, 20.63, 18.63]",S1E1,The Milwaukee Cup Sponsored by GAN
27th,Robin,Wells,20.06,"[22.23, 14.59, 20.81, 17.15, 23.07]",S1E1,The Milwaukee Cup Sponsored by GAN
28th,Eric,Graham,20.09,"[22.04, 15.91, 16.29, 21.95, 23.76]",S1E1,The Milwaukee Cup Sponsored by GAN
29th,Kimberly,White,20.12,"[19.98, 17.46, 22.29, 19.63, 20.75]",S1E1,The Milwaukee Cup Sponsored by GAN
30th,Robert,Andrews,20.17,"[23.16, 18.1, 21.93, 20.49, 16.87]",S1E1,The Milwaukee Cup Sponsored by GAN
