Rank,First Name,Last Name,Time,Event Num,Event
1st,Conor,Evans,12.37,S1E6,The Nagoya Big Double
2nd,Tanya,Lee,12.44,S1E2,The Bangkok Cup Sponsored by GAN
3rd,Tanya,Lee,12.68,S1E10,The Moscow Cup Sponsored by GAN
4th,Eric,Graham,12.8,S1E7,The Shanghai Cup Sponsored by GAN
5th,Kimberly,White,12.86,S1E7,The Shanghai Cup Sponsored by GAN
6th,Stephanie,Cain,13.3,S1E8,The Ho Chi Minh City Cubing Invitational
7th,Tanya,Lee,13.32,S1E11,Season 1 Championship in Manhattan
8th,Tanya,Lee,13.44,S1E9,The Manchester Cubing Invitational
9th,Tanya,Lee,13.45,S1E8,The Ho Chi Minh City Cubing Invitational
10th,Tanya,Lee,13.49,S1E6,The Nagoya Big Double
11th,Antonio,Valencia,13.82,S1E6,The Nagoya Big Double
12th,Antonio,Valencia,13.96,S1E9,The Manchester Cubing Invitational
13th,Cheryl,Jackson,14.01,S1E2,The Bangkok Cup Sponsored by GAN
14th,Jeanette,King,14.06,S1E3,The Las Vegas Big Double in United States
15th,Jacob,Garcia,14.14,S1E6,The Nagoya Big Double
16th,Tanya,Lee,14.2,S1E10,The Moscow Cup Sponsored by GAN
17th,Cheryl,Jackson,14.22,S1E10,The Moscow Cup Sponsored by GAN
18th,Bradley,Cross,14.33,S2E1,The Japan Open in Tokyo
19th,Tanya,Lee,14.47,S1E8,The Ho Chi Minh City Cubing Invitational
20th,Antonio,Valencia,14.48,S1E6,The Nagoya Big Double
21st,Tanya,Lee,14.51,S1E2,The Bangkok Cup Sponsored by GAN
22nd,Daria,Buchkovsky,14.51,S1E4,The Johannesburg Open Tournament in South Africa
23rd,Cheryl,Jackson,14.52,S1E5,The South Bend Open Tournament in United States
24th,Robin,Wells,14.59,S1E1,The Milwaukee Cup Sponsored by GAN
25th,Robert,Young,14.62,S1E3,The Las Vegas Big Double in United States
26th,Tanya,Lee,14.64,S1E8,The Ho Chi Minh City Cubing Invitational
27th,Tanya,Lee,14.67,S1E2,The Bangkok Cup Sponsored by GAN
28th,Conor,Evans,14.67,S1E10,The Moscow Cup Sponsored by GAN
29th,Tanya,Lee,14.7,S1E4,The Johannesburg Open Tournament in South Africa
30th,Jacob,Garcia,14.7,S1E7,The Shanghai Cup Sponsored by GAN
31st,Stephanie,Cain,14.72,S1E3,The Las Vegas Big Double in United States
32nd,Jason,Martin,14.77,S1E2,The Bangkok Cup Sponsored by GAN
33rd,Tanya,Lee,14.77,S1E2,The Bangkok Cup Sponsored by GAN
34th,Douglas,Robinson,14.77,S1E5,The South Bend Open Tournament in United States
35th,Tanya,Lee,14.78,S1E8,The Ho Chi Minh City Cubing Invitational
36th,Robert,Young,14.85,S1E3,The Las Vegas Big Double in United States
37th,Kimberly,White,14.85,S1E11,Season 1 Championship in Manhattan
38th,Antonio,Valencia,14.86,S2E1,The Japan Open in Tokyo
39th,Tanya,Lee,14.87,S1E1,The Milwaukee Cup Sponsored by GAN
40th,Tanya,Lee,14.91,S1E5,The South Bend Open Tournament in United States
41st,Conor,Evans,14.94,S1E2,The Bangkok Cup Sponsored by GAN
42nd,Eric,Graham,14.98,S1E10,The Moscow Cup Sponsored by GAN
43rd,Tanya,Lee,15.0,S1E11,Season 1 Championship in Manhattan
44th,Bradley,Cross,15.07,S2E1,The Japan Open in Tokyo
45th,Jacob,Garcia,15.09,S2E1,The Japan Open in Tokyo
46th,Michelle,Hart,15.1,S2E1,The Japan Open in Tokyo
47th,Henry,Hunter,15.15,S1E1,The Milwaukee Cup Sponsored by GAN
48th,Tanya,Lee,15.15,S1E11,Season 1 Championship in Manhattan
49th,Conor,Evans,15.16,S1E1,The Milwaukee Cup Sponsored by GAN
50th,Robert,Young,15.16,S1E3,The Las Vegas Big Double in United States
