Rank,First Name,Last Name,Time,Event Num,Event
1st,Conor,Evans,12.37,S1E6,The Nagoya Big Double
2nd,Tanya,Lee,12.44,S1E2,The Bangkok Cup Sponsored by GAN
3rd,Tanya,Lee,12.68,S1E10,The Moscow Cup Sponsored by GAN
4th,Eric,Graham,12.8,S1E7,The Shanghai Cup Sponsored by GAN
5th,Kimberly,White,12.86,S1E7,The Shanghai Cup Sponsored by GAN
6th,Stephanie,Cain,13.3,S1E8,The Ho Chi Minh City Cubing Invitational
7th,Tanya,Lee,13.32,S1E11,Season 1 Championship in Manhattan
8th,Tanya,Lee,13.44,S1E9,The Manchester Cubing Invitational
9th,Tanya,Lee,13.45,S1E8,The Ho Chi Minh City Cubing Invitational
10th,Tanya,Lee,13.49,S1E6,The Nagoya Big Double
11th,Antonio,Valencia,13.82,S1E6,The Nagoya Big Double
12th,Antonio,Valencia,13.96,S1E9,The Manchester Cubing Invitational
13th,Cheryl,Jackson,14.01,S1E2,The Bangkok Cup Sponsored by GAN
14th,Jeanette,King,14.06,S1E3,The Las Vegas Big Double in United States
15th,Jacob,Garcia,14.14,S1E6,The Nagoya Big Double
16th,Tanya,Lee,14.2,S1E10,The Moscow Cup Sponsored by GAN
17th,Cheryl,Jackson,14.22,S1E10,The Moscow Cup Sponsored by GAN
18th,Tanya,Lee,14.47,S1E8,The Ho Chi Minh City Cubing Invitational
19th,Antonio,Valencia,14.48,S1E6,The Nagoya Big Double
20th,Tanya,Lee,14.51,S1E2,The Bangkok Cup Sponsored by GAN
21st,Daria,Buchkovsky,14.51,S1E4,The Johannesburg Open Tournament in South Africa
22nd,Cheryl,Jackson,14.52,S1E5,The South Bend Open Tournament in United States
23rd,Robin,Wells,14.59,S1E1,The Milwaukee Cup Sponsored by GAN
24th,Robert,Young,14.62,S1E3,The Las Vegas Big Double in United States
25th,Tanya,Lee,14.64,S1E8,The Ho Chi Minh City Cubing Invitational
26th,Tanya,Lee,14.67,S1E2,The Bangkok Cup Sponsored by GAN
27th,Conor,Evans,14.67,S1E10,The Moscow Cup Sponsored by GAN
28th,Tanya,Lee,14.7,S1E4,The Johannesburg Open Tournament in South Africa
29th,Jacob,Garcia,14.7,S1E7,The Shanghai Cup Sponsored by GAN
30th,Stephanie,Cain,14.72,S1E3,The Las Vegas Big Double in United States
31st,Jason,Martin,14.77,S1E2,The Bangkok Cup Sponsored by GAN
32nd,Tanya,Lee,14.77,S1E2,The Bangkok Cup Sponsored by GAN
33rd,Douglas,Robinson,14.77,S1E5,The South Bend Open Tournament in United States
34th,Tanya,Lee,14.78,S1E8,The Ho Chi Minh City Cubing Invitational
35th,Robert,Young,14.85,S1E3,The Las Vegas Big Double in United States
36th,Kimberly,White,14.85,S1E11,Season 1 Championship in Manhattan
37th,Tanya,Lee,14.87,S1E1,The Milwaukee Cup Sponsored by GAN
38th,Tanya,Lee,14.91,S1E5,The South Bend Open Tournament in United States
39th,Conor,Evans,14.94,S1E2,The Bangkok Cup Sponsored by GAN
40th,Eric,Graham,14.98,S1E10,The Moscow Cup Sponsored by GAN
41st,Tanya,Lee,15.0,S1E11,Season 1 Championship in Manhattan
42nd,Henry,Hunter,15.15,S1E1,The Milwaukee Cup Sponsored by GAN
43rd,Tanya,Lee,15.15,S1E11,Season 1 Championship in Manhattan
44th,Conor,Evans,15.16,S1E1,The Milwaukee Cup Sponsored by GAN
45th,Robert,Young,15.16,S1E3,The Las Vegas Big Double in United States
46th,Robert,Young,15.17,S1E2,The Bangkok Cup Sponsored by GAN
47th,Emerson,Tichenor,15.18,S1E1,The Milwaukee Cup Sponsored by GAN
48th,Eric,Graham,15.19,S1E8,The Ho Chi Minh City Cubing Invitational
49th,Tanya,Lee,15.21,S1E1,The Milwaukee Cup Sponsored by GAN
50th,Conor,Evans,15.25,S1E6,The Nagoya Big Double
