Rank,First Name,Last Name,Time,Event Num,Event
1st,Conor,Evans,12.37,S1E6,The Nagoya Big Double
2nd,Tanya,Lee,12.44,S1E2,The Bangkok Cup Sponsored by GAN
3rd,Eric,Graham,12.8,S1E7,The Shanghai Cup Sponsored by GAN
4th,Kimberly,White,12.86,S1E7,The Shanghai Cup Sponsored by GAN
5th,Stephanie,Cain,13.3,S1E8,The Ho Chi Minh City Cubing Invitational
6th,Tanya,Lee,13.44,S1E9,The Manchester Cubing Invitational
7th,Tanya,Lee,13.45,S1E8,The Ho Chi Minh City Cubing Invitational
8th,Tanya,Lee,13.49,S1E6,The Nagoya Big Double
9th,Antonio,Valencia,13.82,S1E6,The Nagoya Big Double
10th,Antonio,Valencia,13.96,S1E9,The Manchester Cubing Invitational
11th,Cheryl,Jackson,14.01,S1E2,The Bangkok Cup Sponsored by GAN
12th,Jeanette,King,14.06,S1E3,The Las Vegas Big Double in United States
13th,Jacob,Garcia,14.14,S1E6,The Nagoya Big Double
14th,Tanya,Lee,14.47,S1E8,The Ho Chi Minh City Cubing Invitational
15th,Antonio,Valencia,14.48,S1E6,The Nagoya Big Double
16th,Tanya,Lee,14.51,S1E2,The Bangkok Cup Sponsored by GAN
17th,Daria,Buchkovsky,14.51,S1E4,The Johannesburg Open Tournament in South Africa
18th,Cheryl,Jackson,14.52,S1E5,The South Bend Open Tournament in United States
19th,Robin,Wells,14.59,S1E1,The Milwaukee Cup Sponsored by GAN
20th,Robert,Young,14.62,S1E3,The Las Vegas Big Double in United States
21st,Tanya,Lee,14.64,S1E8,The Ho Chi Minh City Cubing Invitational
22nd,Tanya,Lee,14.67,S1E2,The Bangkok Cup Sponsored by GAN
23rd,Tanya,Lee,14.7,S1E4,The Johannesburg Open Tournament in South Africa
24th,Jacob,Garcia,14.7,S1E7,The Shanghai Cup Sponsored by GAN
25th,Stephanie,Cain,14.72,S1E3,The Las Vegas Big Double in United States
26th,Jason,Martin,14.77,S1E2,The Bangkok Cup Sponsored by GAN
27th,Tanya,Lee,14.77,S1E2,The Bangkok Cup Sponsored by GAN
28th,Douglas,Robinson,14.77,S1E5,The South Bend Open Tournament in United States
29th,Tanya,Lee,14.78,S1E8,The Ho Chi Minh City Cubing Invitational
30th,Robert,Young,14.85,S1E3,The Las Vegas Big Double in United States
31st,Tanya,Lee,14.87,S1E1,The Milwaukee Cup Sponsored by GAN
32nd,Tanya,Lee,14.91,S1E5,The South Bend Open Tournament in United States
33rd,Conor,Evans,14.94,S1E2,The Bangkok Cup Sponsored by GAN
34th,Henry,Hunter,15.15,S1E1,The Milwaukee Cup Sponsored by GAN
35th,Conor,Evans,15.16,S1E1,The Milwaukee Cup Sponsored by GAN
36th,Robert,Young,15.16,S1E3,The Las Vegas Big Double in United States
37th,Robert,Young,15.17,S1E2,The Bangkok Cup Sponsored by GAN
38th,Emerson,Tichenor,15.18,S1E1,The Milwaukee Cup Sponsored by GAN
39th,Eric,Graham,15.19,S1E8,The Ho Chi Minh City Cubing Invitational
40th,Tanya,Lee,15.21,S1E1,The Milwaukee Cup Sponsored by GAN
41st,Conor,Evans,15.25,S1E6,The Nagoya Big Double
42nd,Daria,Buchkovsky,15.27,S1E5,The South Bend Open Tournament in United States
43rd,Michelle,Hart,15.33,S1E3,The Las Vegas Big Double in United States
44th,Robert,Young,15.33,S1E8,The Ho Chi Minh City Cubing Invitational
45th,Robert,Young,15.39,S1E4,The Johannesburg Open Tournament in South Africa
46th,Michelle,Hart,15.41,S1E7,The Shanghai Cup Sponsored by GAN
47th,Robert,Andrews,15.42,S1E7,The Shanghai Cup Sponsored by GAN
48th,Tanya,Lee,15.42,S1E9,The Manchester Cubing Invitational
49th,Antonio,Valencia,15.46,S1E8,The Ho Chi Minh City Cubing Invitational
50th,Robert,Young,15.47,S1E3,The Las Vegas Big Double in United States
