Rank,First Name,Last Name,Time,Event Num,Event
1st,Tanya,Lee,12.28,S2E6,Speedcubes Massive Battle in Omdurman
2nd,Conor,Evans,12.37,S1E6,The Nagoya Big Double
3rd,Tanya,Lee,12.44,S1E2,The Bangkok Cup Sponsored by GAN
4th,Tanya,Lee,12.68,S1E10,The Moscow Cup Sponsored by GAN
5th,Eric,Graham,12.8,S1E7,The Shanghai Cup Sponsored by GAN
6th,Kimberly,White,12.86,S1E7,The Shanghai Cup Sponsored by GAN
7th,Conor,Evans,13.05,S2E8,The Berlin Cup Sponsored by GAN
8th,Stephanie,Cain,13.3,S1E8,The Ho Chi Minh City Cubing Invitational
9th,Tanya,Lee,13.32,S1E11,Season 1 Championship in Manhattan
10th,Tanya,Lee,13.44,S1E9,The Manchester Cubing Invitational
11th,Tanya,Lee,13.45,S1E8,The Ho Chi Minh City Cubing Invitational
12th,Tanya,Lee,13.49,S1E6,The Nagoya Big Double
13th,Tanya,Lee,13.51,S2E3,The Manchester Big Double
14th,Tanya,Lee,13.55,S2E5,Bangkok Open
15th,Alyssa,Murillo,13.58,S2E10,The MoYu Giza Invitational Cup
16th,Bradley,Cross,13.71,S2E6,Speedcubes Massive Battle in Omdurman
17th,Antonio,Valencia,13.82,S1E6,The Nagoya Big Double
18th,Tanya,Lee,13.82,S2E3,The Manchester Big Double
19th,Robert,Young,13.83,S2E3,The Manchester Big Double
20th,Tanya,Lee,13.89,S2E8,The Berlin Cup Sponsored by GAN
21st,Tracy,Kelley,13.95,S2E9,The Bucharest Cup Sponsored by GAN
22nd,Antonio,Valencia,13.96,S1E9,The Manchester Cubing Invitational
23rd,Conor,Evans,13.96,S2E4,The MoYu Louisville Cup
24th,Ryan,Stoyko,14.0,S2E5,Bangkok Open
25th,Cheryl,Jackson,14.01,S1E2,The Bangkok Cup Sponsored by GAN
26th,Robert,Young,14.05,S2E5,Bangkok Open
27th,Jeanette,King,14.06,S1E3,The Las Vegas Big Double in United States
28th,Tanya,Lee,14.07,S2E2,The Wuhan Open Tournament in China
29th,Alyssa,Murillo,14.1,S2E5,Bangkok Open
30th,Tanya,Lee,14.13,S2E9,The Bucharest Cup Sponsored by GAN
31st,Jacob,Garcia,14.14,S1E6,The Nagoya Big Double
32nd,Jacob,Garcia,14.16,S2E6,Speedcubes Massive Battle in Omdurman
33rd,Jacob,Garcia,14.19,S2E7,The Nagoya Cup Sponsored by GAN
34th,Tanya,Lee,14.2,S1E10,The Moscow Cup Sponsored by GAN
35th,Maggie,Silver,14.21,S2E4,The MoYu Louisville Cup
36th,Cheryl,Jackson,14.22,S1E10,The Moscow Cup Sponsored by GAN
37th,Robert,Young,14.25,S2E4,The MoYu Louisville Cup
38th,Ryan,Stoyko,14.25,S2E7,The Nagoya Cup Sponsored by GAN
39th,Michelle,Hart,14.27,S2E10,The MoYu Giza Invitational Cup
40th,Julia,Lamb,14.29,S2E10,The MoYu Giza Invitational Cup
41st,Bradley,Cross,14.33,S2E1,The Japan Open in Tokyo
42nd,Bill,Meadows,14.36,S2E5,Bangkok Open
43rd,Tanya,Lee,14.37,S2E7,The Nagoya Cup Sponsored by GAN
44th,Lonnie,Green,14.38,S2E5,Bangkok Open
45th,Cheryl,Jackson,14.43,S2E2,The Wuhan Open Tournament in China
46th,Ryan,Stoyko,14.43,S2E8,The Berlin Cup Sponsored by GAN
47th,Julia,Lamb,14.45,S2E9,The Bucharest Cup Sponsored by GAN
48th,Tanya,Lee,14.47,S1E8,The Ho Chi Minh City Cubing Invitational
49th,Antonio,Valencia,14.48,S1E6,The Nagoya Big Double
50th,Cheryl,Jackson,14.5,S2E4,The MoYu Louisville Cup
51st,Antonio,Valencia,14.5,S2E9,The Bucharest Cup Sponsored by GAN
52nd,Tanya,Lee,14.51,S1E2,The Bangkok Cup Sponsored by GAN
53rd,Daria,Buchkovsky,14.51,S1E4,The Johannesburg Open Tournament in South Africa
54th,Cheryl,Jackson,14.52,S1E5,The South Bend Open Tournament in United States
55th,Tanya,Lee,14.53,S2E9,The Bucharest Cup Sponsored by GAN
56th,Ryan,Stoyko,14.54,S2E6,Speedcubes Massive Battle in Omdurman
57th,Robin,Wells,14.59,S1E1,The Milwaukee Cup Sponsored by GAN
58th,Tanya,Lee,14.59,S2E5,Bangkok Open
59th,Robert,Young,14.62,S1E3,The Las Vegas Big Double in United States
60th,Eric,Graham,14.63,S2E3,The Manchester Big Double
61st,Tanya,Lee,14.64,S1E8,The Ho Chi Minh City Cubing Invitational
62nd,Tanya,Lee,14.67,S1E2,The Bangkok Cup Sponsored by GAN
63rd,Conor,Evans,14.67,S1E10,The Moscow Cup Sponsored by GAN
64th,Eric,Graham,14.67,S2E6,Speedcubes Massive Battle in Omdurman
65th,Tanya,Lee,14.67,S2E10,The MoYu Giza Invitational Cup
66th,Tanya,Lee,14.7,S1E4,The Johannesburg Open Tournament in South Africa
67th,Jacob,Garcia,14.7,S1E7,The Shanghai Cup Sponsored by GAN
68th,Stephanie,Cain,14.72,S1E3,The Las Vegas Big Double in United States
69th,Jason,Martin,14.77,S1E2,The Bangkok Cup Sponsored by GAN
70th,Tanya,Lee,14.77,S1E2,The Bangkok Cup Sponsored by GAN
71st,Douglas,Robinson,14.77,S1E5,The South Bend Open Tournament in United States
72nd,Bradley,Cross,14.77,S2E9,The Bucharest Cup Sponsored by GAN
73rd,Tanya,Lee,14.78,S1E8,The Ho Chi Minh City Cubing Invitational
74th,Eric,Graham,14.79,S2E6,Speedcubes Massive Battle in Omdurman
75th,Bradley,Cross,14.79,S2E10,The MoYu Giza Invitational Cup
76th,Bradley,Cross,14.79,S2E10,The MoYu Giza Invitational Cup
77th,Cheryl,Jackson,14.84,S2E5,Bangkok Open
78th,Robert,Young,14.85,S1E3,The Las Vegas Big Double in United States
79th,Kimberly,White,14.85,S1E11,Season 1 Championship in Manhattan
80th,Antonio,Valencia,14.85,S2E10,The MoYu Giza Invitational Cup
81st,Antonio,Valencia,14.86,S2E1,The Japan Open in Tokyo
82nd,Tanya,Lee,14.87,S1E1,The Milwaukee Cup Sponsored by GAN
83rd,Bradley,Cross,14.87,S2E9,The Bucharest Cup Sponsored by GAN
84th,Tanya,Lee,14.91,S1E5,The South Bend Open Tournament in United States
85th,Daria,Buchkovsky,14.93,S2E2,The Wuhan Open Tournament in China
86th,Conor,Evans,14.94,S1E2,The Bangkok Cup Sponsored by GAN
87th,Robin,Wells,14.95,S2E9,The Bucharest Cup Sponsored by GAN
88th,Antonio,Valencia,14.97,S2E10,The MoYu Giza Invitational Cup
89th,Eric,Graham,14.98,S1E10,The Moscow Cup Sponsored by GAN
90th,Robin,Wells,14.98,S2E3,The Manchester Big Double
91st,Antonio,Valencia,14.99,S2E2,The Wuhan Open Tournament in China
92nd,Tanya,Lee,14.99,S2E7,The Nagoya Cup Sponsored by GAN
93rd,Tanya,Lee,15.0,S1E11,Season 1 Championship in Manhattan
94th,Antonio,Valencia,15.01,S2E10,The MoYu Giza Invitational Cup
95th,Bradley,Cross,15.07,S2E1,The Japan Open in Tokyo
96th,Antonio,Valencia,15.08,S2E9,The Bucharest Cup Sponsored by GAN
97th,Jacob,Garcia,15.09,S2E1,The Japan Open in Tokyo
98th,Michelle,Hart,15.1,S2E1,The Japan Open in Tokyo
99th,Tanya,Lee,15.11,S2E4,The MoYu Louisville Cup
100th,Cheryl,Jackson,15.11,S2E5,Bangkok Open
