Num,Name,Type,Invite Num,Num Quali,First,Second,Third
1,The Japan Open in Tokyo,Open,N/A,64,Robert Andrews,Bradley Cross,Eric Graham
2,The Wuhan Open Tournament in China,Open,N/A,64,Bradley Cross,Cheryl Jackson,Eric Graham
3,The Manchester Big Double,Open,N/A,128,Tanya Lee,Bradley Cross,Antonio Valencia
4,The MoYu Louisville Cup,Open,N/A,64,Tanya Lee,Antonio Valencia,Bradley Cross
5,Bangkok Open,Open,N/A,64,Tanya Lee,Bradley Cross,Antonio Valencia
6,Speedcubes Massive Battle in Omdurman,Open,N/A,128,Bradley Cross,Maggie Silver,Robert Young
7,The Nagoya Cup Sponsored by GAN,Invite,100,64,Bradley Cross,Maggie Silver,Antonio Valencia
8,The Berlin Cup Sponsored by GAN,Invite,100,64,Bradley Cross,Antonio Valencia,Jacob Garcia
9,The Bucharest Cup Sponsored by GAN,Invite,50,32,Bradley Cross,Tanya Lee,Jacob Garcia
10,The MoYu Giza Invitational Cup,Invite,50,32,Maggie Silver,Antonio Valencia,Emerson Tichenor
11,Season 2 Championship in Ho Chi Minh City,Invite,16,16,Bradley Cross,Cheryl Jackson,Antonio Valencia
