Points,First Name,Last Name,Placings
94,Bradley,Cross,2,1,2,3,2
85,Tanya,Lee,6,48,1,1,1
68,Antonio,Valencia,4,7,3,2,3
54,Maggie,Silver,8,4,5,4,4
44,Eric,Graham,3,3,15,8,22
36,Jacob,Garcia,16,12,4,10,8
31,Cheryl,Jackson,32,2,21,18,7
29,Ryan,Stoyko,25,6,11,6,19
28,Robert,Andrews,1,32,24,39,41
28,Robert,Young,9,53,7,16,5
26,Stephanie,Cain,5,21,45,7,12
22,Brett,Hill,11,64,8,24,9
20,Jeanette,King,103,5,6,52,34
17,Daria,Buchkovsky,28,10,19,11,18
15,Bill,Meadows,10,11,27,21,54
14,David,Heath,19,28,31,35,6
14,Michelle,Hart,14,59,10,13,102
13,Alyssa,Murillo,12,27,94,77,11
11,Julia,Lamb,38,52,32,5,44
11,Denise,Harrison,7,83,54,28,17
11,Sarah,Underwood,24,8,26,62,65
10,Peter,King,17,36,9,61,20
10,Jessica,Lane,56,9,42,95,14
10,Emerson,Tichenor,48,24,12,113,24
10,Steven,Carpenter,59,13,23,14,35
8,Nathaniel,White,29,45,34,9,32
8,Donald,Dixon,15,15,33,38,71
8,Michael,Brown,46,22,22,33,15
7,Kayla,Johnson,33,44,41,27,10
7,Scott,Bryant,13,26,18,84,61
7,Clinton,Buck,41,25,20,63,13
7,Suzanne,Weiss,54,17,46,15,26
7,Tiffany,Dixon,22,16,40,25,52
7,Tracy,Kelley,43,31,16,17,70
6,Conor,Evans,53,101,63,12,62
5,David,Long,27,19,70,92,21
4,Taylor,Roach,66,50,13,68,198
4,Sheila,Johnson,68,14,73,76,51
4,Anita,Buchanan,69,151,14,72,81
4,Henry,Hunter,37,54,55,146,16
4,George,Wright,47,23,17,37,43
4,Karen,Castro,36,39,30,19,27
4,Amanda,Davis,21,30,68,30,97
4,Daniel,Mendoza,23,103,48,22,46
3,Jason,Martin,30,18,43,67,68
3,Elizabeth,Williams,26,20,38,47,40
3,Christopher,Kim,20,66,36,48,28
3,Denise,Diaz,88,40,125,23,31
2,Mark,Williams,18,47,175,90,39
2,Alexis,Valentine,126,114,105,20,78
2,Sarah,Torres,60,43,39,51,23
2,Allen,Cook,75,34,25,43,30
2,Michele,Cordova,61,74,28,29,83
2,Chad,Thomas,51,67,29,32,47
1,Tammy,Powers,152,57,67,73,25
1,Robin,Wells,35,42,44,26,73
1,James,Horne,130,29,194,78,77
1,Sandra,Collins,186,84,83,175,29
1,Donald,Levy,31,75,69,102,145
1,Regina,Erickson,91,108,100,31,100
0,Danielle,Knapp,124,33,133,42,111
0,James,Johnston,115,144,103,127,33
0,Lonnie,Green,34,171,117,207,48
0,Kimberly,Williams,180,72,90,34,115
0,Trevor,Benson,45,35,66,41,36
0,Andrew,Bradford,71,156,35,57,69
0,Christine,Hicks,44,124,50,36,74
0,Nicole,Young,99,37,56,103,82
0,Terrance,Fowler,151,46,37,71,38
0,Tiffany,Owens,114,62,53,130,37
0,James,Gamble,79,38,113,79,95
0,Jared,Hahn,39,87,145,119,173
0,James,Wade,40,120,128,80,89
0,Krystal,Kane,92,82,204,40,79
0,Cynthia,Silva,127,41,195,86,66
0,Karen,Hunter,42,107,193,94,185
0,Brittany,Carroll,49,113,78,49,42
0,Stacey,Matthews,154,77,71,44,98
0,Duane,Smith,128,81,84,45,49
0,Angela,Jordan,246,119,102,81,45
0,James,Howard,58,58,65,46,56
0,Austin,Carpenter,209,93,47,144,147
0,Elizabeth,Strong,207,49,148,184,168
0,Jennifer,Bass,185,155,49,151,75
0,Whitney,Nicholson,50,105,106,59,130
0,Stacy,Roberson,78,238,88,50,149
0,Lynn,Cohen,80,131,57,210,50
0,Heather,Soto,167,51,159,83,113
0,Martha,Smith,67,111,51,65,87
0,Michelle,Boyle,52,271,197,164,121
0,Alexandria,Perez,89,73,52,66,156
0,Marissa,Scott,104,96,72,53,104
0,Douglas,Robinson,57,110,137,181,53
0,Justin,Santos,215,69,82,54,214
0,Rebecca,Brown,55,186,59,131,60
0,Brooke,Hunter,97,55,96,116,160
0,Craig,Smith,83,140,149,55,277
0,Anna,Charles,77,122,215,150,55
0,Eric,Meadows,148,56,213,205,249
0,Justin,Thomas,86,157,77,56,105
0,David,Nichols,205,194,209,272,57
0,Tony,Bell,155,70,58,225,255
0,Caitlin,Nolan,164,88,241,58,230
0,Richard,Austin,256,106,93,155,58
0,Brianna,Gonzalez,135,132,92,214,59
0,Aaron,Hall,137,60,79,111,138
0,Randall,Campbell,198,178,60,247,222
0,Alexander,Stewart,150,85,85,60,106
0,Felicia,Martinez,275,61,211,176,144
0,Gabrielle,Brock,95,76,61,115,136
0,Carlos,Thompson,62,104,156,64,201
0,Eric,Burgess,63,175,62,112,218
0,Robert,Sims,179,63,101,85,219
0,Devon,Fisher,177,195,120,185,63
0,James,Cordova,64,95,240,124,109
0,Jeremy,Fisher,109,97,64,87,117
0,Brittany,Rice,216,123,74,134,64
0,John,Oconnor,65,138,124,273,238
0,Christina,Lee,349,65,107,108,188
0,Michelle,Evans,157,317,181,258,67
0,Cory,Warner,116,68,158,246,186
0,Carol,Riley,84,117,108,69,195
0,Kelly,Morris,70,89,129,70,146
0,Wendy,Herrera,81,71,168,89,127
0,James,Martin,72,91,91,188,164
0,Marcus,Nguyen,108,165,87,168,72
0,Brittany,Obrien,73,185,130,227,246
0,Daniel,Espinoza,74,292,253,269,151
0,Kimberly,Martin,189,161,200,74,308
0,Julia,Stone,133,139,75,105,112
0,Kayla,James,188,137,167,75,171
0,Haley,Ryan,76,90,174,206,126
0,Susan,Cox,255,99,76,128,235
0,Christine,Moran,121,208,212,236,76
0,Brittney,Gonzalez,119,78,185,138,101
0,Anthony,Smith,105,79,152,202,172
0,Kirsten,Mendoza,129,80,146,160,123
0,Heather,Ali,132,141,80,99,88
0,Julie,Barr,161,102,140,192,80
0,Roberto,Parsons,94,182,81,195,108
0,Corey,Smith,82,277,229,98,251
0,Kayla,Moore,112,162,118,82,118
0,Elizabeth,Taylor,174,146,201,118,84
0,Sarah,Hunt,85,183,131,180,220
0,David,Hamilton,90,180,95,143,85
0,Christina,Marshall,163,86,238,220,199
0,Kimberly,Wade,166,126,86,109,86
