NumEvents,5
Best Single,23.357,Elise Johnston,Best AO5,31.905,Kelsey Ross,"['DNF', 35.234, 28.852, 29.055, 31.426]"
First Name, Last Name, Age, Expected Time, Best Placing, AVG Placing, Wins, Podiums, Best Single, Best AO5, Best AO5 Times,
Emerson,Tichenor,24,0.0,2,61.4,0,1,25.61,30.0,"[30.0, 30.0, 30.0, 30.0, 30.0]"
Richard,Thomas,23,38.647,10,27.8,0,0,31.03,35.083,"[40.466, 37.056, 31.894, 36.298, 31.03]"
Ada,Gray,21,47.787,152,177.2,0,0,43.755,46.731,"[48.43, 43.755, 46.804, 46.693, 46.695]"
Luke,Gibson,30,46.215,79,128.2,0,0,37.429,43.64,"[41.183, 55.073, 46.099, 43.637, 40.328]"
John,Williams,25,42.227,46,62.0,0,0,35.629,39.536,"[37.204, 38.978, 43.679, 38.124, 41.507]"
Maximilian,Campbell,30,40.712,20,36.6,0,0,29.955,38.609,"[32.745, 35.143, 40.486, 40.197, 40.627]"
Dainton,Johnston,19,44.715,87,105.4,0,0,38.927,43.366,"[38.927, 43.091, 46.745, 41.993, 45.014]"
Edwin,Morrison,21,44.011,83,102.8,0,0,36.292,43.754,"[43.595, 43.6, 46.321, 44.066, 41.312]"
Catherine,Crawford,19,43.444,70,93.4,0,0,38.079,42.585,"[39.617, 44.365, 45.969, 43.701, 39.689]"
Antony,Johnston,20,45.09,52,106.6,0,0,40.441,42.272,"[41.628, 42.778, 44.676, 42.409, 40.488]"
Olivia,Crawford,27,38.375,6,29.2,0,0,29.254,35.712,"[36.125, 37.13, 39.357, 33.882, 31.32]"
Wilson,Casey,22,44.502,49,76.8,0,0,39.484,41.279,"[40.513, 43.076, 39.484, 40.249, 46.858]"
Alissa,Smith,18,43.846,89,117.0,0,0,41.111,44.162,"[41.111, 43.284, 52.06, 47.923, 41.28]"
Julia,Hamilton,25,46.388,117,136.2,0,0,41.059,45.394,"[46.58, 48.393, 45.233, 41.059, 44.37]"
Ryan,Richardson,24,47.064,146,150.4,0,0,42.038,46.572,"[50.595, 43.252, 42.132, 55.268, 45.868]"
Fiona,Evans,24,44.212,56,79.8,0,0,32.563,41.955,"[41.034, 43.706, 42.36, 38.935, 42.472]"
Joyce,Stewart,22,48.398,86,165.6,0,0,40.321,43.908,"[42.401, 43.212, 40.321, 48.147, 46.111]"
Lilianna,Nelson,22,49.948,179,182.0,0,0,41.755,49.34,"[50.4, 47.685, 44.932, 49.936, 53.459]"
